| People and Society | KENYA |
| Sex ratio: | 65 years and over: 0.77 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 20.3 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2014 est.) |
| Maternal mortality rate: | 510 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 38.3 deaths/1,000 live births |
| Infant mortality rate: | male: 42.7 deaths/1,000 live births |
| Infant mortality rate: | female: 33.7 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 64 years |
| Life expectancy at birth: | male: 62.6 years |
| Life expectancy at birth: | female: 65.5 years (2016 est.) |
| Total fertility rate: | 3.14 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 45.5% (2008/09) |
| Health expenditures: | 5.7% of GDP (2014) |
| Physicians density: | 0.2 physicians/1,000 population (2013) |
| Hospital bed density: | 1.4 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 81.6% of population |
| Drinking water source: | rural: 56.8% of population |
| Drinking water source: | total: 63.2% of population |
| unimproved: | urban: 18.4% of population |
| unimproved: | rural: 43.2% of population |
| unimproved: | total: 36.8% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 31.2% of population |
| Sanitation facility access: | rural: 29.7% of population |
| Sanitation facility access: | total: 30.1% of population |
| unimproved: | urban: 68.8% of population |
| unimproved: | rural: 70.3% of population |
| unimproved: | total: 69.9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 5.91% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1,517,700 (2015 est.) |
| HIV/AIDS - deaths: | 35,800 (2015 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria, dengue fever, and Rift Valley fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 5.9% (2014) |
| Children under the age of 5 years underweight: | 11% (2014) |
| Education expenditures: | 5.5% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 78% |
| Literacy: | male: 81.1% |
| Literacy: | female: 74.9% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2009) |
