| People and Society | NIGERIA |
| Population growth rate: | 2.43% (2017 est.) |
| Birth rate: | 36.9 births/1,000 population (2017 est.) |
| Death rate: | 12.4 deaths/1,000 population (2017 est.) |
| Net migration rate: | -0.2 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | largest population of any African nation; significant population clusters are scattered throughout the country, with the highest density areas being in the south and southwest |
| Urbanization: | urban population: 49.4% of total population (2017) |
| Urbanization: | rate of urbanization: 4.3% annual rate of change (2015-20 est.) |
| Major urban areas - population: | Lagos 13.123 million; Kano 3.587 million; Ibadan 3.16 million; ABUJA (capital) 2.44 million; Port Harcourt 2.343 million; Benin City 1.496 million (2015) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.91 male(s)/female |
| Sex ratio: | total population: 1.04 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 20.3 years |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2013 est.) |
| Maternal mortality rate: | 814 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 69.8 deaths/1,000 live births |
| Infant mortality rate: | male: 74.5 deaths/1,000 live births |
| Infant mortality rate: | female: 64.8 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 53.8 years |
| Life expectancy at birth: | male: 52.8 years |
| Life expectancy at birth: | female: 55 years (2017 est.) |
| Total fertility rate: | 5.07 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 20.4% (2016) |
| Health expenditures: | 3.7% of GDP (2014) |
| Physicians density: | 0.38 physicians/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 80.8% of population |
| Drinking water source: | rural: 57.3% of population |
| Drinking water source: | total: 68.5% of population |
| unimproved: | urban: 19.2% of population |
| unimproved: | rural: 42.7% of population |
| unimproved: | total: 31.5% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 32.8% of population |
| Sanitation facility access: | rural: 25.4% of population |
| Sanitation facility access: | total: 29% of population |
| unimproved: | urban: 67.2% of population |
| unimproved: | rural: 74.6% of population |
| unimproved: | total: 71% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 2.9% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 3.2 million (2016 est.) |
| HIV/AIDS - deaths: | 160,000 (2016 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever |
| Major infectious diseases: | water contact diseases: leptospirosis and schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | aerosolized dust or soil contact disease: Lassa fever |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 8.9% (2016) |
| Children under the age of 5 years underweight: | 19.4% (2015) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 59.6% |
| Literacy: | male: 69.2% |
| Literacy: | female: 49.7% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2011) |
| Unemployment, youth ages 15-24: | total: 7.7% |
| Unemployment, youth ages 15-24: | male: NA |
| Unemployment, youth ages 15-24: | female: NA (2015 est.) |
