| People and Society | Nigeria |
| Major infectious diseases: | note: on 7 October 2019, the Centers for Disease Control and Prevention issued a Travel Health Notice for a Yellow Fever outbreak in Nigeria;Â a large, ongoing outbreak of yellow fever in Nigeria began in September 2017; the outbreak is now spread throughout the country with the Nigerian Ministry of Health reporting cases of the disease in all 36 states and the Federal Capital Territory; the CDC recommends travelers going to Nigeria should receive vaccination against yellow fever at least 10 days before travel and should take steps to prevent mosquito bites while there; those never vaccinated against yellow fever should avoid travel to Nigeria during the outbreak |
| Major infectious diseases: | note: widespread ongoing transmission of a respiratory illness caused by the novel coronavirus (COVID-19) is occurring throughout Nigeria; as of 8 December 2020, Nigeria has reported a total of 68,937 cases of COVID-19 or 334 cumulative cases of COVID-19 per 1 million population with 6 cumulative deaths per 1 million population; as of 19 March 2020, the Government of Nigeria has restricted entry into Nigeria for travelers from the following high incidence countries: China, Italy, Iran, Norway, South Korea, Spain, Japan, France, Germany, US, UK, Netherlands, and Switzerland |
| Obesity - adult prevalence rate: | 8.9% (2016) |
| Children under the age of 5 years underweight: | 21.8% (2018) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 62% |
| Literacy: | male: 71.3% |
| Literacy: | female: 52.7% (2018) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2011) |
| Unemployment, youth ages 15-24: | total: 13.8% |
| Unemployment, youth ages 15-24: | male: NA |
| Unemployment, youth ages 15-24: | female: NA (2016 est.) |
