| People and Society | Libya |
| Drinking water source: | improved: total: 98.5% of population |
| Drinking water source: | unimproved: total: 1.5% of population (2017 est.) |
| Physicians density: | 2.09 physicians/1,000 population (2017) |
| Hospital bed density: | 3.2 beds/1,000 population (2017) |
| Sanitation facility access: | improved: total: 100% of population |
| Sanitation facility access: | unimproved: total: 0% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2019) |
| HIV/AIDS - people living with HIV/AIDS: | 9,500 (2019) |
| HIV/AIDS - deaths: | <500 (2019) |
| Obesity - adult prevalence rate: | 32.5% (2016) |
| Children under the age of 5 years underweight: | 11.7% (2014) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 91% |
| Literacy: | male: 96.7% |
| Literacy: | female: 85.6% (2015) |
| Unemployment, youth ages 15-24: | total: 48.7% |
| Unemployment, youth ages 15-24: | male: 40.8% |
| Unemployment, youth ages 15-24: | female: 67.8% (2012 est.) |
