| People and Society | Angola |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, typhoid fever (2019) |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria (2019) |
| Major infectious diseases: | water contact diseases: schistosomiasis (2019) |
| Major infectious diseases: | animal contact diseases: rabies (2019) |
| Obesity - adult prevalence rate: | 8.2% (2016) |
| Children under the age of 5 years underweight: | 19% (2016) |
| Education expenditures: | 3.4% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 71.1% |
| Literacy: | male: 82% |
| Literacy: | female: 60.7% (2015) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2011) |
| Unemployment, youth ages 15-24: | total: 39.4% |
| Unemployment, youth ages 15-24: | male: 39% |
| Unemployment, youth ages 15-24: | female: 39.8% (2014 est.) |
