| People and Society | Honduras |
| Net migration rate: | -1.4 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | most residents live in the mountainous western half of the country; unlike other Central American nations, Honduras is the only one with an urban population that is distributed between two large centers - the capital of Tegucigalpa and the city of San Pedro Sula; the Rio Ulua valley in the north is the only densely populated lowland area |
| Urbanization: | urban population: 58.4% of total population (2020) |
| Urbanization: | rate of urbanization: 2.75% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 1.444 million TEGUCIGALPA (capital), 903,000 San Pedro Sula (2020) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 0.9 male(s)/female |
| Sex ratio: | 55-64 years: 0.83 male(s)/female |
| Sex ratio: | 65 years and over: 0.8 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 20.4 years (2011/12 est.) |
| Mother's mean age at first birth: | note: median age a first birth among women 25-29 |
| Maternal mortality rate: | 65 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 14.6 deaths/1,000 live births |
| Infant mortality rate: | male: 16.6 deaths/1,000 live births |
| Infant mortality rate: | female: 12.4 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 74.6 years |
| Life expectancy at birth: | male: 71.1 years |
| Life expectancy at birth: | female: 78.3 years (2020 est.) |
| Total fertility rate: | 2.09 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 73.2% (2011/12) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 88.9% of population |
| Drinking water source: | total: 94.8% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 11.1% of population |
| Drinking water source: | total: 5.2% of population (2017 est.) |
| Current Health Expenditure: | 7.9% (2017) |
| Physicians density: | 0.31 physicians/1,000 population (2017) |
| Hospital bed density: | 0.6 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 95.4% of population |
| Sanitation facility access: | rural: 83.5% of population |
| Sanitation facility access: | total: 90.2% of population |
| Sanitation facility access: | unimproved: urban: 4.6% of population |
| Sanitation facility access: | rural: 16.5% of population (2015 est.) |
| Sanitation facility access: | total: 9.8% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 25,000 (2019 est.) |
| HIV/AIDS - deaths: | <1000 (2019 est.) |
| Major infectious diseases: | degree of risk: high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Obesity - adult prevalence rate: | 21.4% (2016) |
| Children under the age of 5 years underweight: | 7.1% (2012) |
| Education expenditures: | 6.1% of GDP (2018) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 87.2% |
| Literacy: | male: 87.1% |
| Literacy: | female: 87.3% (2016) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2017) |
| Unemployment, youth ages 15-24: | total: 10.7% |
| Unemployment, youth ages 15-24: | male: 7.7% |
| Unemployment, youth ages 15-24: | female: 16.3% (2018 est.) |
