| People and Society | Botswana |
| Net migration rate: | 3 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | the population is primarily concentrated in the east with a focus in and around the captial of Gaborone, and the far central-eastern city of Francistown; population density remains low in other areas in the country, especially in the Kalahari to the west |
| Urbanization: | urban population: 69.4% of total population (2018) |
| Urbanization: | rate of urbanization: 2.87% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 269,000 GABORONE (capital) (2018) |
| Sex ratio: | at birth: 1.03 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 0.99 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 1.15 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.82 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.66 male(s)/female (2017 est.) |
| Sex ratio: | total population: 1.04 male(s)/female (2017 est.) |
| Maternal mortality rate: | 129 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 28.6 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 31.2 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 26 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 63.8 years (2018 est.) |
| Life expectancy at birth: | male: 61.8 years (2018 est.) |
| Life expectancy at birth: | female: 66 years (2018 est.) |
| Total fertility rate: | 2.53 children born/woman (2018 est.) |
| Health expenditures: | 5.4% of GDP (2014) |
| Physicians density: | 0.38 physicians/1,000 population (2012) |
| Hospital bed density: | 1.8 beds/1,000 population (2010) |
| Drinking water source: | improved: urban: 99.2% of population |
| Drinking water source: | rural: 92.3% of population |
| Drinking water source: | total: 96.2% of population |
| Drinking water source: | unimproved: urban: 0.8% of population |
| Drinking water source: | rural: 7.7% of population |
| Drinking water source: | total: 3.8% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 78.5% of population (2015 est.) |
| Sanitation facility access: | rural: 43.1% of population (2015 est.) |
| Sanitation facility access: | total: 63.4% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 21.5% of population (2015 est.) |
| Sanitation facility access: | rural: 56.9% of population (2015 est.) |
| Sanitation facility access: | total: 36.6% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 22.8% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 380,000 (2017 est.) |
| HIV/AIDS - deaths: | 4,100 (2017 est.) |
| Major infectious diseases: | degree of risk: high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: malaria (2016) |
| Obesity - adult prevalence rate: | 18.9% (2016) |
| Education expenditures: | 9.6% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 88.5% (2015 est.) |
| Literacy: | male: 88% (2015 est.) |
| Literacy: | female: 88.9% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years (2013) |
| School life expectancy (primary to tertiary education): | male: 13 years (2013) |
| School life expectancy (primary to tertiary education): | female: 13 years (2013) |
| Unemployment, youth ages 15-24: | total: 36% (2010 est.) |
| Unemployment, youth ages 15-24: | male: 29.6% (2010 est.) |
| Unemployment, youth ages 15-24: | female: 43.5% (2010 est.) |
