| People and Society | Eswatini |
| Age structure: | 0-14 years: 34.41% (male 186,747 /female 187,412) |
| Age structure: | 15-24 years: 19.31% (male 99,192 /female 110,770) |
| Age structure: | 25-54 years: 38.22% (male 193,145 /female 222,405) |
| Age structure: | 55-64 years: 4.28% (male 19,915 /female 26,663) |
| Age structure: | 65 years and over: 3.77% (male 15,470 /female 25,481) (2018 est.) |
| Dependency ratios: | total dependency ratio: 68.8 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 63.5 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 5.2 (2015 est.) |
| Dependency ratios: | potential support ratio: 19.1 (2015 est.) |
| Median age: | total: 23.2 years |
| Median age: | male: 22.2 years |
| Median age: | female: 24 years (2018 est.) |
| Population growth rate: | 0.82% (2018 est.) |
| Birth rate: | 25.8 births/1,000 population (2018 est.) |
| Death rate: | 10.7 deaths/1,000 population (2018 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | because of its mountainous terrain, the population distribution is uneven throughout the country, concentrating primarily in valleys and plains |
| Urbanization: | urban population: 23.8% of total population (2018) |
| Urbanization: | rate of urbanization: 2.46% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 68,000 MBABANE (capital) (2018) |
| Sex ratio: | at birth: 1.02 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.02 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.02 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 1.08 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.66 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.64 male(s)/female (2017 est.) |
| Sex ratio: | total population: 1 male(s)/female (2017 est.) |
| Maternal mortality rate: | 389 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 46.6 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 51.4 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 41.7 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 57.2 years |
| Life expectancy at birth: | male: 55.1 years |
| Life expectancy at birth: | female: 59.3 years (2018 est.) |
| Total fertility rate: | 2.63 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 66.1% (2014) |
| Health expenditures: | 9.3% of GDP (2014) |
| Physicians density: | 0.15 physicians/1,000 population (2009) |
| Hospital bed density: | 2.1 beds/1,000 population (2011) |
| Drinking water source: | improved: urban: 93.6% of population |
| Drinking water source: | rural: 68.9% of population |
| Drinking water source: | total: 74.1% of population |
| Drinking water source: | unimproved: urban: 6.4% of population |
| Drinking water source: | rural: 31.1% of population |
| Drinking water source: | total: 25.9% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 63.1% of population (2015 est.) |
| Sanitation facility access: | rural: 56% of population (2015 est.) |
| Sanitation facility access: | total: 57.5% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 36.9% of population (2015 est.) |
| Sanitation facility access: | rural: 44% of population (2015 est.) |
| Sanitation facility access: | total: 42.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 27.4% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 210,000 (2017 est.) |
| HIV/AIDS - deaths: | 3,500 (2017 est.) |
| Major infectious diseases: | degree of risk: intermediate (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: malaria (2016) |
| Major infectious diseases: | water contact diseases: schistosomiasis (2016) |
| Obesity - adult prevalence rate: | 16.5% (2016) |
| Children under the age of 5 years underweight: | 5.8% (2014) |
| Education expenditures: | 7.1% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 87.5% (2015 est.) |
| Literacy: | male: 87.4% (2015 est.) |
| Literacy: | female: 87.5% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years (2013) |
| School life expectancy (primary to tertiary education): | male: 12 years (2013) |
| School life expectancy (primary to tertiary education): | female: 11 years (2013) |
