| People and Society | Argentina |
| Maternal mortality rate: | 39 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 9.5 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 10.4 deaths/1,000 live births |
| Infant mortality rate: | female: 8.5 deaths/1,000 live births |
| Life expectancy at birth: | total population: 77.5 years (2018 est.) |
| Life expectancy at birth: | male: 74.4 years |
| Life expectancy at birth: | female: 80.8 years |
| Total fertility rate: | 2.25 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 81.3% (2013) |
| Drinking water source: | improved: urban: 99% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 99.1% of population |
| Drinking water source: | unimproved: urban: 1% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0.9% of population (2015 est.) |
| Current Health Expenditure: | 7.5% (2016) |
| Physicians density: | 3.96 physicians/1,000 population (2017) |
| Hospital bed density: | 5 beds/1,000 population (2014) |
| Sanitation facility access: | improved: urban: 96.2% of population (2015 est.) |
| Sanitation facility access: | rural: 98.3% of population (2015 est.) |
| Sanitation facility access: | total: 96.4% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 3.8% of population (2015 est.) |
| Sanitation facility access: | rural: 1.7% of population (2015 est.) |
| Sanitation facility access: | total: 3.6% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 140,000 (2018 est.) |
| HIV/AIDS - deaths: | 1,700 (2018 est.) |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus |
| Obesity - adult prevalence rate: | 28.3% (2016) |
| Education expenditures: | 5.5% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.1% |
| Literacy: | male: 99.1% |
| Literacy: | female: 99.1% (2016) |
| School life expectancy (primary to tertiary education): | total: 18 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 19 years (2016) |
| Unemployment, youth ages 15-24: | total: 22.6% |
| Unemployment, youth ages 15-24: | male: 19.9% |
| Unemployment, youth ages 15-24: | female: 26.9% (2017 est.) |
