| People and Society | China |
| Population distribution: | overwhelming majority of the population is found in the eastern half of the country; the west, with its vast mountainous and desert areas, remains sparsely populated; though ranked first in the world in total population, overall density is less than that of many other countries in Asia and Europe; high population density is found along the Yangtze and Yellow River valleys, the Xi Jiang River delta, the Sichuan Basin (around Chengdu), in and around Beijing, and the industrial area around Shenyang |
| Urbanization: | urban population: 61.4% of total population (2020) |
| Urbanization: | rate of urbanization: 2.42% annual rate of change (2015-20 est.) |
| Urbanization: | note: data do not include Hong Kong and Macau |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 27.058 million Shanghai, 20.463 million BEIJING (capital), 15.872 million Chongqing, 13.589 million Tianjin, 13.302 million Guangzhou, 12.357 million Shenzhen (2020) |
| Sex ratio: | at birth: 1.11 male(s)/female |
| Sex ratio: | 0-14 years: 1.16 male(s)/female |
| Sex ratio: | 15-24 years: 1.17 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 1.02 male(s)/female |
| Sex ratio: | 65 years and over: 0.9 male(s)/female |
| Sex ratio: | total population: 1.06 male(s)/female (2020 est.) |
| Maternal mortality rate: | 29 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 11.4 deaths/1,000 live births |
| Infant mortality rate: | male: 11.9 deaths/1,000 live births |
| Infant mortality rate: | female: 10.9 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 76.1 years |
| Life expectancy at birth: | male: 74 years |
| Life expectancy at birth: | female: 78.4 years (2020 est.) |
| Total fertility rate: | 1.6 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 84.5% (2017) |
| Drinking water source: | improved: urban: 97.7% of population |
| Drinking water source: | rural: 87.8% of population |
| Drinking water source: | total: 92.8% of population |
| Drinking water source: | unimproved: urban: 2.3% of population |
| Drinking water source: | rural: 12.2% of population |
| Drinking water source: | total: 7.2% of population (2017 est.) |
| Current Health Expenditure: | 5.2% (2017) |
| Physicians density: | 1.98 physicians/1,000 population (2017) |
| Hospital bed density: | 4.3 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 97.1% of population |
| Sanitation facility access: | rural: 82% of population |
| Sanitation facility access: | total: 90.7% of population |
| Sanitation facility access: | unimproved: urban: 2.4% of population |
| Sanitation facility access: | rural: 18% of population |
| Sanitation facility access: | total: 9.3% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: Crimean-Congo hemorrhagic fever, Japanese encephalitis |
| Major infectious diseases: | soil contact diseases: hantaviral hemorrhagic fever with renal syndrome (HFRS) |
| Major infectious diseases: | note:Â a new coronavirus is causing an outbreak of respiratory illness (COVID-19) in China; illness with this virus has ranged from mild to severe with fatalities reported; the US Department of State has issued a do not travel advisory for China due to COVID-19; the Centers for Disease Control and Prevention has also recommended against travel to China and published additional guidance at https://wwwnc.cdc.gov/travel/notices/warning/novel-coronavirus-china; the US Department of Homeland Security has issued instructions requiring US passengers who have been in China to travel through select airports where the US Government has implemented enhanced screening procedures; as of 8 December 2020, China has reported 94,160 confirmed cases of COVID-19 with 4,753 deaths to the World Health Organization |
| Obesity - adult prevalence rate: | 6.2% (2016) |
| Children under the age of 5 years underweight: | 2.4% (2013) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 96.8% |
| Literacy: | male: 98.5% |
| Literacy: | female: 95.2% (2018) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2015) |
| People - note: | in October 2015, the Chinese Government announced that it would change its rules to allow all couples to have two children, loosening a 1979 mandate that restricted many couples to one child; the new policy was implemented on 1 January 2016 to address Chinaâ€™s rapidly aging population and future economic needs |
