| People and Society | BURUNDI |
| Sanitation facility access: | urban: 43.8% of population |
| Sanitation facility access: | rural: 48.6% of population |
| Sanitation facility access: | total: 48% of population |
| unimproved: | urban: 56.2% of population |
| unimproved: | rural: 51.4% of population |
| unimproved: | total: 52% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.04% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 77,400 (2015 est.) |
| HIV/AIDS - deaths: | 3,000 (2015 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 2.1% (2014) |
| Children under the age of 5 years underweight: | 29.1% (2011) |
| Education expenditures: | 5.4% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 85.6% |
| Literacy: | male: 88.2% |
| Literacy: | female: 83.1% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2013) |
| Child labor - children ages 5-14: | total number: 433,187 |
| Child labor - children ages 5-14: | percentage: 19% (2005 est.) |
