| People and Society | SURINAME |
| Sanitation facility access: | urban: 88.4% of population |
| Sanitation facility access: | rural: 61.4% of population |
| Sanitation facility access: | total: 79.2% of population |
| unimproved: | urban: 11.6% of population |
| unimproved: | rural: 38.6% of population |
| unimproved: | total: 20.8% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.4% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 4,900 (2016 est.) |
| HIV/AIDS - deaths: | <200 (2016 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: dengue fever and malaria |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Obesity - adult prevalence rate: | 26.4% (2016) |
| Children under the age of 5 years underweight: | 5.8% (2010) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 95.6% |
| Literacy: | male: 96.1% |
| Literacy: | female: 95% (2015 est.) |
| Unemployment, youth ages 15-24: | total: 16.4% |
| Unemployment, youth ages 15-24: | male: 7.8% |
| Unemployment, youth ages 15-24: | female: 30.7% (2014 est.) |
