| People and Society | PANAMA |
| Sex ratio: | 65 years and over: 0.85 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2016 est.) |
| Maternal mortality rate: | 94 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 9.9 deaths/1,000 live births |
| Infant mortality rate: | male: 10.6 deaths/1,000 live births |
| Infant mortality rate: | female: 9.1 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 78.8 years |
| Life expectancy at birth: | male: 76 years |
| Life expectancy at birth: | female: 81.7 years (2017 est.) |
| Total fertility rate: | 2.3 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 62.8% (2013) |
| Health expenditures: | 8% of GDP (2014) |
| Physicians density: | 1.59 physicians/1,000 population (2013) |
| Hospital bed density: | 2.2 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97.7% of population |
| Drinking water source: | rural: 86.6% of population |
| Drinking water source: | total: 94.7% of population |
| unimproved: | urban: 2.3% of population |
| unimproved: | rural: 11.4% of population |
| unimproved: | total: 5.3% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 83.5% of population |
| Sanitation facility access: | rural: 58% of population |
| Sanitation facility access: | total: 75% of population |
| unimproved: | urban: 16.5% of population |
| unimproved: | rural: 42% of population |
| unimproved: | total: 25% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.8% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 21,000 (2016 est.) |
| HIV/AIDS - deaths: | <1000 (2016 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne disease: dengue fever |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Obesity - adult prevalence rate: | 22.7% (2016) |
| Children under the age of 5 years underweight: | 3.9% (2008) |
| Education expenditures: | 3.3% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 95% |
| Literacy: | male: 95.7% |
| Literacy: | female: 94.4% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2013) |
| Unemployment, youth ages 15-24: | total: 11.5% |
| Unemployment, youth ages 15-24: | male: 9% |
| Unemployment, youth ages 15-24: | female: 16% (2016 est.) |
