| People and Society | Afghanistan |
| Birth rate: | 37.5 births/1,000 population (2018 est.) |
| Death rate: | 13.2 deaths/1,000 population (2018 est.) |
| Net migration rate: | -0.9 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | populations tend to cluster in the foothills and periphery of the rugged Hindu Kush range; smaller groups are found in many of the country's interior valleys; in general, the east is more densely settled, while the south is sparsely populated |
| Urbanization: | urban population: 25.5% of total population (2018) |
| Urbanization: | rate of urbanization: 3.37% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 4.012 million KABUL (capital) (2018) |
| Sex ratio: | at birth: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.03 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.97 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.86 male(s)/female (2017 est.) |
| Sex ratio: | total population: 1.03 male(s)/female (2017 est.) |
| Mother's mean age at first birth: | 19.9 years (2015 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 396 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 108.5 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 115.7 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 100.9 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 52.1 years (2018 est.) |
| Life expectancy at birth: | male: 50.6 years (2018 est.) |
| Life expectancy at birth: | female: 53.6 years (2018 est.) |
| Total fertility rate: | 5.02 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 22.5% (2015/16) |
| Health expenditures: | 8.2% of GDP (2014) |
| Physicians density: | 0.3 physicians/1,000 population (2016) |
| Hospital bed density: | 0.5 beds/1,000 population (2014) |
| Drinking water source: | improved: urban: 78.2% of population |
| Drinking water source: | rural: 47% of population |
| Drinking water source: | total: 55.3% of population |
| Drinking water source: | unimproved: urban: 21.8% of population |
| Drinking water source: | rural: 53% of population |
| Drinking water source: | total: 44.7% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 45.1% of population (2015 est.) |
| Sanitation facility access: | rural: 27% of population (2015 est.) |
| Sanitation facility access: | total: 31.9% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 54.9% of population (2015 est.) |
| Sanitation facility access: | rural: 73% of population (2015 est.) |
| Sanitation facility access: | total: 68.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 7,500 (2016 est.) |
| HIV/AIDS - deaths: | <500 (2016 est.) |
| Major infectious diseases: | degree of risk: intermediate (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: malaria (2016) |
| Obesity - adult prevalence rate: | 5.5% (2016) |
| Children under the age of 5 years underweight: | 25% (2013) |
| Education expenditures: | 3.2% of GDP (2015) |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 38.2% (2015 est.) |
| Literacy: | male: 52% (2015 est.) |
| Literacy: | female: 24.2% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years (2014) |
| School life expectancy (primary to tertiary education): | male: 13 years (2014) |
| School life expectancy (primary to tertiary education): | female: 8 years (2014) |
