CIA - The World Factbook -- United States Pacific Island Wildlife Refuges

| Geography | United States Pacific Island Wildlife Refuges |
| | Baker, Howland, and Jarvis Islands, and Kingman Reef: none; offshore anchorage only |
| | Johnston Atoll: Johnston Island |
| | Midway Islands: Sand Island |
| | Palmyra Atoll: West Lagoon |

| Military and Security | United States Pacific Island Wildlife Refuges |
| --- | --- |
| Military - note: | defense is the responsibility of the US |

| Transnational Issues | United States Pacific Island Wildlife Refuges |
| --- | --- |
| Disputes - international: | none |
