| People and Society | Bolivia |
| Urbanization: | rate of urbanization: 1.97% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 1.814 million LA PAZ (capital), 1.641 million Santa Cruz, 1.24 million Cochabamba, 278,000 Sucre (constitutional capital) (2018) |
| Sex ratio: | at birth: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.03 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 0.95 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.86 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.79 male(s)/female (2017 est.) |
| Sex ratio: | total population: 0.98 male(s)/female (2017 est.) |
| Mother's mean age at first birth: | 21.2 years (2008 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 206 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 34.2 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 37.6 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 30.7 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 69.8 years (2018 est.) |
| Life expectancy at birth: | male: 67 years (2018 est.) |
| Life expectancy at birth: | female: 72.8 years (2018 est.) |
| Total fertility rate: | 2.58 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 66.5% (2016) |
| Health expenditures: | 6.3% of GDP (2014) |
| Physicians density: | 0.47 physicians/1,000 population (2011) |
| Hospital bed density: | 1.1 beds/1,000 population (2014) |
| Drinking water source: | improved: urban: 96.7% of population |
| Drinking water source: | rural: 75.6% of population |
| Drinking water source: | total: 90% of population |
| Drinking water source: | unimproved: urban: 3.3% of population |
| Drinking water source: | rural: 24.4% of population |
| Drinking water source: | total: 10% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 60.8% of population (2015 est.) |
| Sanitation facility access: | rural: 27.5% of population (2015 est.) |
| Sanitation facility access: | total: 50.3% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 39.2% of population (2015 est.) |
| Sanitation facility access: | rural: 72.5% of population (2015 est.) |
| Sanitation facility access: | total: 49.7% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 21,000 (2017 est.) |
| HIV/AIDS - deaths: | <1000 (2017 est.) |
| Major infectious diseases: | degree of risk: very high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea and hepatitis A (2016) |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and yellow fever (2016) |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus |
| Obesity - adult prevalence rate: | 20.2% (2016) |
| Children under the age of 5 years underweight: | 3.4% (2016) |
| Education expenditures: | 7.3% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 92.5% (2015 est.) |
| Literacy: | male: 96.5% (2015 est.) |
| Literacy: | female: 88.6% (2015 est.) |
| Unemployment, youth ages 15-24: | total: 6.9% (2015 est.) |
| Unemployment, youth ages 15-24: | male: 5.8% (2015 est.) |
| Unemployment, youth ages 15-24: | female: 8.6% (2015 est.) |
