| People and Society | BOLIVIA |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and yellow fever |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Obesity - adult prevalence rate: | 15.8% (2014) |
| Children under the age of 5 years underweight: | 4.5% (2008) |
| Education expenditures: | 7.3% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 95.7% |
| Literacy: | male: 97.8% |
| Literacy: | female: 93.6% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2007) |
| Child labor - children ages 5-14: | total number: 757,352 |
| Child labor - children ages 5-14: | percentage: 26.4% |
| Child labor - children ages 5-14: | note: data represent children ages 5-17 (2008 est.) |
| Unemployment, youth ages 15-24: | total: 6.2% |
| Unemployment, youth ages 15-24: | male: 5.1% |
| Unemployment, youth ages 15-24: | female: 7.8% (2011 est.) |
