| People and Society | BOLIVIA |
| Age structure: | 65 years and over: 5.3% (male 260,424/female 330,327) (2017 est.) |
| Dependency ratios: | total dependency ratio: 63.7 |
| Dependency ratios: | youth dependency ratio: 53.1 |
| Dependency ratios: | elderly dependency ratio: 10.6 |
| Dependency ratios: | potential support ratio: 9.4 (2015 est.) |
| Median age: | total: 24.3 years |
| Median age: | male: 23.6 years |
| Median age: | female: 25 years (2017 est.) |
| Population growth rate: | 1.51% (2017 est.) |
| Birth rate: | 22 births/1,000 population (2017 est.) |
| Death rate: | 6.4 deaths/1,000 population (2017 est.) |
| Net migration rate: | -0.5 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | a high altitude plain in the west between two cordillera of the Andes, known as the Altiplano, is the focal area for most of the population; a dense settlement pattern is also found in and around the city of Santa Cruz, located on the eastern side of the Andes |
| Urbanization: | urban population: 69.3% of total population (2017) |
| Urbanization: | rate of urbanization: 2.11% annual rate of change (2015-20 est.) |
| Major urban areas - population: | Santa Cruz 2.107 million; LA PAZ (capital) 1.816 million; Cochabamba 1.24 million; Sucre (constitutional capital) 372,000 (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 0.95 male(s)/female |
| Sex ratio: | 55-64 years: 0.86 male(s)/female |
| Sex ratio: | 65 years and over: 0.79 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 21.2 years |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2008 est.) |
| Maternal mortality rate: | 206 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 35.3 deaths/1,000 live births |
| Infant mortality rate: | male: 38.7 deaths/1,000 live births |
| Infant mortality rate: | female: 31.7 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 69.5 years |
| Life expectancy at birth: | male: 66.7 years |
| Life expectancy at birth: | female: 72.4 years (2017 est.) |
| Total fertility rate: | 2.63 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 60.5% (2008) |
| Health expenditures: | 6.3% of GDP (2014) |
| Physicians density: | 0.47 physicians/1,000 population (2011) |
| Hospital bed density: | 1.1 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 96.7% of population |
| Drinking water source: | rural: 75.6% of population |
| Drinking water source: | total: 90% of population |
| unimproved: | urban: 3.3% of population |
| unimproved: | rural: 24.4% of population |
| unimproved: | total: 10% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 60.8% of population |
| Sanitation facility access: | rural: 27.5% of population |
| Sanitation facility access: | total: 50.3% of population |
| unimproved: | urban: 39.2% of population |
| unimproved: | rural: 72.5% of population |
| unimproved: | total: 49.7% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 19,000 (2016 est.) |
| HIV/AIDS - deaths: | <1000 (2016 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea and hepatitis A |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and yellow fever |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Obesity - adult prevalence rate: | 20.2% (2016) |
| Children under the age of 5 years underweight: | 3.6% (2012) |
| Education expenditures: | 7.3% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 92.5% |
| Literacy: | male: 96.5% |
| Literacy: | female: 88.6% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2007) |
| Unemployment, youth ages 15-24: | total: 6.9% |
| Unemployment, youth ages 15-24: | male: 6.4% |
| Unemployment, youth ages 15-24: | female: 7.6% (2013 est.) |
