| People and Society | Ethiopia |
| Infant mortality rate: | female: 41 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 63 years |
| Life expectancy at birth: | male: 60.5 years |
| Life expectancy at birth: | female: 65.5 years (2018 est.) |
| Total fertility rate: | 4.91 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 36.5% (2017) |
| Health expenditures: | 4.9% of GDP (2014) |
| Physicians density: | 0.03 physicians/1,000 population (2009) |
| Hospital bed density: | 0.3 beds/1,000 population (2015) |
| Drinking water source: | improved: urban: 93.1% of population |
| Drinking water source: | rural: 48.6% of population |
| Drinking water source: | total: 57.3% of population |
| Drinking water source: | unimproved: urban: 6.9% of population |
| Drinking water source: | rural: 51.4% of population |
| Drinking water source: | total: 42.7% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 27.2% of population (2015 est.) |
| Sanitation facility access: | rural: 28.2% of population (2015 est.) |
| Sanitation facility access: | total: 28% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 72.8% of population (2015 est.) |
| Sanitation facility access: | rural: 71.8% of population (2015 est.) |
| Sanitation facility access: | total: 72% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.9% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 610,000 (2017 est.) |
| HIV/AIDS - deaths: | 15,000 (2017 est.) |
| Major infectious diseases: | degree of risk: very high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever (2016) |
| Major infectious diseases: | water contact diseases: schistosomiasis (2016) |
| Major infectious diseases: | animal contact diseases: rabies (2016) |
| Major infectious diseases: | respiratory diseases: meningococcal meningitis (2016) |
| Obesity - adult prevalence rate: | 4.5% (2016) |
| Children under the age of 5 years underweight: | 23.6% (2016) |
| Education expenditures: | 4.5% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 49.1% (2015 est.) |
| Literacy: | male: 57.2% (2015 est.) |
| Literacy: | female: 41.1% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 8 years (2012) |
| School life expectancy (primary to tertiary education): | male: 9 years (2012) |
| School life expectancy (primary to tertiary education): | female: 8 years (2012) |
| Unemployment, youth ages 15-24: | total: 25.2% (2016 est.) |
| Unemployment, youth ages 15-24: | male: 17.1% (2016 est.) |
| Unemployment, youth ages 15-24: | female: 30.9% (2016 est.) |
