| People and Society | CAMEROON |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.87 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 19.7 years |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2011 est.) |
| Maternal mortality rate: | 596 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 51 deaths/1,000 live births |
| Infant mortality rate: | male: 54.6 deaths/1,000 live births |
| Infant mortality rate: | female: 47.3 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 59 years |
| Life expectancy at birth: | male: 57.6 years |
| Life expectancy at birth: | female: 60.4 years (2017 est.) |
| Total fertility rate: | 4.64 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 34.4% (2014) |
| Health expenditures: | 4.1% of GDP (2014) |
| Physicians density: | 0.08 physicians/1,000 population (2010) |
| Hospital bed density: | 1.3 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 94.8% of population |
| Drinking water source: | rural: 52.7% of population |
| Drinking water source: | total: 75.6% of population |
| unimproved: | urban: 5.2% of population |
| unimproved: | rural: 47.3% of population |
| unimproved: | total: 24.4% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 61.8% of population |
| Sanitation facility access: | rural: 26.8% of population |
| Sanitation facility access: | total: 45.8% of population |
| unimproved: | urban: 38.2% of population |
| unimproved: | rural: 73.2% of population |
| unimproved: | total: 54.2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 3.8% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 560,000 (2016 est.) |
| HIV/AIDS - deaths: | 29,000 (2016 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 11.4% (2016) |
| Children under the age of 5 years underweight: | 14.8% (2014) |
| Education expenditures: | 3% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 75% |
| Literacy: | male: 81.2% |
| Literacy: | female: 68.9% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2015) |
| Unemployment, youth ages 15-24: | total: 6.4% |
| Unemployment, youth ages 15-24: | male: 5.3% |
| Unemployment, youth ages 15-24: | female: 7.5% (2010 est.) |
