| People and Society | Cameroon |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 75% (2015 est.) |
| Literacy: | male: 81.2% (2015 est.) |
| Literacy: | female: 68.9% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years (2015) |
| School life expectancy (primary to tertiary education): | male: 13 years (2015) |
| School life expectancy (primary to tertiary education): | female: 11 years (2015) |
| Unemployment, youth ages 15-24: | total: 10.6% (2014 est.) |
| Unemployment, youth ages 15-24: | male: 9% (2014 est.) |
| Unemployment, youth ages 15-24: | female: 12.7% (2014 est.) |
