| People and Society | Egypt |
| Obesity - adult prevalence rate: | 32% (2016) |
| Children under the age of 5 years underweight: | 7% (2014) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 71.2% |
| Literacy: | male: 76.5% |
| Literacy: | female: 65.5% (2017) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2017) |
| Unemployment, youth ages 15-24: | total: 29.6% |
| Unemployment, youth ages 15-24: | male: 25.7% |
| Unemployment, youth ages 15-24: | female: 38.3% (2017 est.) |
