| People and Society | GUATEMALA |
| Life expectancy at birth: | female: 74.7 years (2017 est.) |
| Total fertility rate: | 2.77 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 60.6% (2014/15) |
| Health expenditures: | 6.2% of GDP (2014) |
| Physicians density: | 0.9 physicians/1,000 population (2009) |
| Hospital bed density: | 0.6 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.4% of population |
| Drinking water source: | rural: 86.8% of population |
| Drinking water source: | total: 92.8% of population |
| unimproved: | urban: 1.6% of population |
| unimproved: | rural: 13.2% of population |
| unimproved: | total: 7.2% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 77.5% of population |
| Sanitation facility access: | rural: 49.3% of population |
| Sanitation facility access: | total: 63.9% of population |
| unimproved: | urban: 22.5% of population |
| unimproved: | rural: 50.7% of population |
| unimproved: | total: 36.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.5% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 46,000 |
| HIV/AIDS - deaths: | 1,600 (2016 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: dengue fever and malaria |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Obesity - adult prevalence rate: | 21.2% (2016) |
| Children under the age of 5 years underweight: | 12.6% (2015) |
| Education expenditures: | 3% of GDP (2015) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 81.5% |
| Literacy: | male: 87.4% |
| Literacy: | female: 76.3% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2013) |
| Unemployment, youth ages 15-24: | total: 4.8% |
| Unemployment, youth ages 15-24: | male: 3.6% |
| Unemployment, youth ages 15-24: | female: 7.5% (2015 est.) |
