| People and Society | Guatemala |
| Total fertility rate: | 2.99 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 43.3% (2002) |
| Health expenditures: | 6.7% of GDP (2011) |
| Physicians density: | 0.93 physicians/1,000 population (2009) |
| Hospital bed density: | 0.7 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.1% of population |
| Drinking water source: | rural: 88.6% of population |
| Drinking water source: | total: 93.8% of population |
| unimproved: | urban: 0.9% of population |
| unimproved: | rural: 11.4% of population |
| unimproved: | total: 6.2% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 88.4% of population |
| Sanitation facility access: | rural: 72.1% of population |
| Sanitation facility access: | total: 80.3% of population |
| unimproved: | urban: 11.6% of population |
| unimproved: | rural: 27.9% of population |
| unimproved: | total: 19.7% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.7% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 57,800 (2012 est.) |
| HIV/AIDS - deaths: | 3,400 (2012 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: dengue fever and malaria (2013) |
| Obesity - adult prevalence rate: | 19.2% (2008) |
| Children under the age of 5 years underweight: | 13% (2009) |
| Education expenditures: | 3% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 75.9% |
| Literacy: | male: 81.2% |
| Literacy: | female: 71.1% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2007) |
| Child labor - children ages 5-14: | total number: 929,852 |
| Child labor - children ages 5-14: | percentage: 21 % |
| Child labor - children ages 5-14: | note: data represents children ages 5-17 (2006 est.) |
| Unemployment, youth ages 15-24: | total: 7.5% |
| Unemployment, youth ages 15-24: | male: 4.5% |
| Unemployment, youth ages 15-24: | female: 13.6% (2011) |
