| People and Society | TOGO |
| Birth rate: | 33.7 births/1,000 population (2016 est.) |
| Death rate: | 7.1 deaths/1,000 population (2016 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 40% of total population (2015) |
| Urbanization: | rate of urbanization: 3.83% annual rate of change (2010-15 est.) |
| Major urban areas - population: | LOME (capital) 956,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.89 male(s)/female |
| Sex ratio: | 65 years and over: 0.76 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 21 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2013/14 est.) |
| Maternal mortality rate: | 368 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 43.7 deaths/1,000 live births |
| Infant mortality rate: | male: 50.1 deaths/1,000 live births |
| Infant mortality rate: | female: 37 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 65 years |
| Life expectancy at birth: | male: 62.3 years |
| Life expectancy at birth: | female: 67.7 years (2016 est.) |
| Total fertility rate: | 4.43 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 15.2% (2010) |
| Health expenditures: | 5.2% of GDP (2014) |
| Physicians density: | 0.05 physicians/1,000 population (2008) |
| Hospital bed density: | 0.7 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 91.4% of population |
| Drinking water source: | rural: 44.2% of population |
| Drinking water source: | total: 63.1% of population |
| unimproved: | urban: 8.6% of population |
| unimproved: | rural: 55.8% of population |
| unimproved: | total: 36.9% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 24.7% of population |
| Sanitation facility access: | rural: 2.9% of population |
| Sanitation facility access: | total: 11.6% of population |
| unimproved: | urban: 75.3% of population |
| unimproved: | rural: 97.1% of population |
| unimproved: | total: 88.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 2.4% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 106,300 (2015 est.) |
| HIV/AIDS - deaths: | 5,100 (2015 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 6.4% (2014) |
| Children under the age of 5 years underweight: | 16.2% (2014) |
| Education expenditures: | 4.8% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 66.5% |
| Literacy: | male: 78.3% |
| Literacy: | female: 55.3% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: NA |
| School life expectancy (primary to tertiary education): | female: NA (2011) |
| Child labor - children ages 5-14: | total number: 774,801 |
| Child labor - children ages 5-14: | percentage: 47% (2010 est.) |
