| People and Society | Niger |
| Death rate: | 10.2 deaths/1,000 population (2020 est.) |
| Net migration rate: | -0.7 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | majority of the populace is located in the southernmost extreme of the country along the border with Nigeria and Benin as shown in this population distribution map |
| Urbanization: | urban population: 16.6% of total population (2020) |
| Urbanization: | rate of urbanization: 4.27% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 1.292 million NIAMEY (capital) (2020) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 0.97 male(s)/female |
| Sex ratio: | 25-54 years: 0.93 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.92 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 18.1 years (2012 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 509 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 67.7 deaths/1,000 live births |
| Infant mortality rate: | male: 72 deaths/1,000 live births |
| Infant mortality rate: | female: 63.3 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 59.3 years |
| Life expectancy at birth: | male: 57.8 years |
| Life expectancy at birth: | female: 60.8 years (2020 est.) |
| Total fertility rate: | 7 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 11% (2017/18) |
| Drinking water source: | improved: urban: 95.7% of population |
| Drinking water source: | rural: 59.2% of population |
| Drinking water source: | total: 65.2% of population |
| Drinking water source: | unimproved: urban: 4.3% of population |
| Drinking water source: | rural: 40.8% of population |
| Drinking water source: | total: 34.8% of population (2017 est.) |
| Current Health Expenditure: | 7.7% (2017) |
| Physicians density: | 0.04 physicians/1,000 population (2016) |
| Hospital bed density: | 0.4 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 76.6% of population |
| Sanitation facility access: | rural: 12.9% of population |
| Sanitation facility access: | total: 23.3% of population |
| Sanitation facility access: | unimproved: urban: 23.4% of population |
| Sanitation facility access: | rural: 87.1% of population |
| Sanitation facility access: | total: 76.7% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 33,000 (2019 est.) |
| HIV/AIDS - deaths: | 1,100 (2019 est.) |
| Major infectious diseases: | degree of risk: very high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact diseases: schistosomiasis |
| Major infectious diseases: | animal contact diseases: rabies |
| Major infectious diseases: | respiratory diseases: meningococcal meningitis |
| Obesity - adult prevalence rate: | 5.5% (2016) |
| Children under the age of 5 years underweight: | 21.8% (2018) |
| Education expenditures: | 3.5% of GDP (2018) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 19.1% |
| Literacy: | male: 27.3% |
| Literacy: | female: 11% (2015) |
| School life expectancy (primary to tertiary education): | total: 6 years |
| School life expectancy (primary to tertiary education): | male: 7 years |
| School life expectancy (primary to tertiary education): | female: 6 years (2017) |
| Unemployment, youth ages 15-24: | total: 0.7% |
| Unemployment, youth ages 15-24: | male: 0.9% |
| Unemployment, youth ages 15-24: | female: 0.4% (2014 est.) |
