| People and Society | COLOMBIA |
| Population distribution: | the majority of people live in the north and west where agricultural opportunities and natural resources are found; the vast grasslands of the llanos to the south and east, which make up approximately 60% of the country, are sparsely populated |
| Urbanization: | urban population: 77% of total population (2017) |
| Urbanization: | rate of urbanization: 1.47% annual rate of change (2015-20 est.) |
| Major urban areas - population: | BOGOTA (capital) 9.765 million; Medellin 3.911 million; Cali 2.646 million; Barranquilla 1.991 million; Bucaramanga 1.215 million; Cartagena 1.092 million (2015) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 0.98 male(s)/female |
| Sex ratio: | 55-64 years: 0.88 male(s)/female |
| Sex ratio: | 65 years and over: 0.72 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 21.7 years |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2015 est.) |
| Maternal mortality rate: | 64 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 13.6 deaths/1,000 live births |
| Infant mortality rate: | male: 16.5 deaths/1,000 live births |
| Infant mortality rate: | female: 10.6 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 75.9 years |
| Life expectancy at birth: | male: 72.8 years |
| Life expectancy at birth: | female: 79.3 years (2017 est.) |
| Total fertility rate: | 2 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 79.1% (2009/10) |
| Health expenditures: | 7.2% of GDP (2014) |
| Physicians density: | 1.57 physicians/1,000 population (2010) |
| Hospital bed density: | 1.5 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 96.8% of population |
| Drinking water source: | rural: 73.8% of population |
| Drinking water source: | total: 91.4% of population |
| unimproved: | urban: 3.2% of population |
| unimproved: | rural: 26.2% of population |
| unimproved: | total: 8.6% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 85.2% of population |
| Sanitation facility access: | rural: 67.9% of population |
| Sanitation facility access: | total: 81.1% of population |
| unimproved: | urban: 14.8% of population |
| unimproved: | rural: 32.1% of population |
| unimproved: | total: 18.9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 120,000 (2016 est.) |
| HIV/AIDS - deaths: | 2,800 (2016 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and yellow fever |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Obesity - adult prevalence rate: | 22.3% (2016) |
| Children under the age of 5 years underweight: | 3.4% (2010) |
| Education expenditures: | 4.5% of GDP (2015) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 94.2% |
| Literacy: | male: 94.1% |
| Literacy: | female: 94.4% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2015) |
| Unemployment, youth ages 15-24: | total: 16.6% |
| Unemployment, youth ages 15-24: | male: 12.6% |
| Unemployment, youth ages 15-24: | female: 22.2% (2015 est.) |
