| People and Society | Colombia |
| Death rate: | 5.6 deaths/1,000 population (2020 est.) |
| Net migration rate: | -0.6 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | the majority of people live in the north and west where agricultural opportunities and natural resources are found; the vast grasslands of the llanos to the south and east, which make up approximately 60% of the country, are sparsely populated |
| Urbanization: | urban population: 81.4% of total population (2020) |
| Urbanization: | rate of urbanization: 1.22% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 10.978 million BOGOTA (capital),Â 4.000 million Medellin, 2.782 million Cali, 2.273 million Barranquilla, 1.331 million Bucaramanga, 1.063 million Cartagena (2020) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.9 male(s)/female |
| Sex ratio: | 65 years and over: 0.72 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 21.7 years (2015 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 83 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 12.3 deaths/1,000 live births |
| Infant mortality rate: | male: 14.9 deaths/1,000 live births |
| Infant mortality rate: | female: 9.5 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 76.6 years |
| Life expectancy at birth: | male: 73.5 years |
| Life expectancy at birth: | female: 80 years (2020 est.) |
| Total fertility rate: | 1.94 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 81% (2015/16) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 86.4% of population |
| Drinking water source: | total: 97.3% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 13.6% of population |
| Drinking water source: | total: 2.7% of population (2017 est.) |
| Current Health Expenditure: | 7.2% (2017) |
| Physicians density: | 2.11 physicians/1,000 population (2017) |
| Hospital bed density: | 1.7 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 98.3% of population |
| Sanitation facility access: | rural: 80.1% of population |
| Sanitation facility access: | total: 94.7% of population |
| Sanitation facility access: | unimproved: urban: 1.7% of population |
| Sanitation facility access: | rural: 19.9% of population |
| Sanitation facility access: | total: 5.3% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.5% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 200,000 (2019 est.) |
| HIV/AIDS - deaths: | 4,100 (2019 est.) |
| Major infectious diseases: | degree of risk: high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and yellow fever |
| Major infectious diseases: | note: widespread ongoing transmission of a respiratory illness caused by the novel coronavirus (COVID-19) is occurring throughout Colombia; as of 8 December 2020, Colombia has reported a total of 1,352,607 cases of COVID-19 or 26,583 cumulative cases of COVID-19 per 1 million population with 736 cumulative deaths per 1 million population |
| Obesity - adult prevalence rate: | 22.3% (2016) |
| Children under the age of 5 years underweight: | 3.7% (2015/16) |
| Education expenditures: | 4.5% of GDP (2018) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 95.1% |
| Literacy: | male: 94.9% |
| Literacy: | female: 95.3% (2018) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2018) |
| Unemployment, youth ages 15-24: | total: 18.5% |
| Unemployment, youth ages 15-24: | male: 14.4% |
| Unemployment, youth ages 15-24: | female: 24% (2018 est.) |
