| People and Society | COLOMBIA |
| Major urban areas - population: | BOGOTA (capital) 9.765 million; Medellin 3.911 million; Cali 2.646 million; Barranquilla 1.991 million; Bucaramanga 1.215 million; Cartagena 1.092 million (2015) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 0.98 male(s)/female |
| Sex ratio: | 55-64 years: 0.88 male(s)/female |
| Sex ratio: | 65 years and over: 0.72 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 21.4 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2010 est.) |
| Maternal mortality rate: | 64 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 14.1 deaths/1,000 live births |
| Infant mortality rate: | male: 17.1 deaths/1,000 live births |
| Infant mortality rate: | female: 10.9 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 75.7 years |
| Life expectancy at birth: | male: 72.6 years |
| Life expectancy at birth: | female: 79 years (2016 est.) |
| Total fertility rate: | 2.02 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 79.1% (2009/10) |
| Health expenditures: | 7.2% of GDP (2014) |
| Physicians density: | 1.47 physicians/1,000 population (2010) |
| Hospital bed density: | 1.5 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 96.8% of population |
| Drinking water source: | rural: 73.8% of population |
| Drinking water source: | total: 91.4% of population |
| unimproved: | urban: 3.2% of population |
| unimproved: | rural: 26.2% of population |
| unimproved: | total: 8.6% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 85.2% of population |
| Sanitation facility access: | rural: 67.9% of population |
| Sanitation facility access: | total: 81.1% of population |
| unimproved: | urban: 14.8% of population |
| unimproved: | rural: 32.1% of population |
| unimproved: | total: 18.9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.48% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 146,000 (2015 est.) |
| HIV/AIDS - deaths: | 2,300 (2015 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and yellow fever |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Obesity - adult prevalence rate: | 20.7% (2014) |
| Children under the age of 5 years underweight: | 3.4% (2010) |
| Education expenditures: | 4.7% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 94.7% |
| Literacy: | male: 94.6% |
| Literacy: | female: 94.8% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2014) |
| Child labor - children ages 5-14: | total number: 988,362 |
| Child labor - children ages 5-14: | percentage: 9% |
| Child labor - children ages 5-14: | note: data represent children ages 5-17 (2009 est.) |
| Unemployment, youth ages 15-24: | total: 18.7% |
| Unemployment, youth ages 15-24: | male: 14.6% |
| Unemployment, youth ages 15-24: | female: 24.3% (2014 est.) |
