| People and Society | COTE D'IVOIRE |
| Major infectious diseases: | respiratory disease: meningococcal meningitis (2016) |
| Obesity - adult prevalence rate: | 10.3% (2016) |
| Children under the age of 5 years underweight: | 15.7% (2012) |
| Education expenditures: | 4.7% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 43.1% |
| Literacy: | male: 53.1% |
| Literacy: | female: 32.5% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2015) |
