| People and Society | Eswatini |
| Sex ratio: | total population: 0.9 male(s)/female (2020 est.) |
| Maternal mortality rate: | 437 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 42.8 deaths/1,000 live births |
| Infant mortality rate: | male: 47.3 deaths/1,000 live births |
| Infant mortality rate: | female: 38.2 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 58.6 years |
| Life expectancy at birth: | male: 56.5 years |
| Life expectancy at birth: | female: 60.7 years (2020 est.) |
| Total fertility rate: | 2.52 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 66.1% (2014) |
| Drinking water source: | improved: urban: 96.8% of population |
| Drinking water source: | rural: 72.3% of population |
| Drinking water source: | total: 78.3% of population |
| Drinking water source: | unimproved: urban: 3.2% of population |
| Drinking water source: | rural: 27.7% of population |
| Drinking water source: | total: 21.7% of population (2017 est.) |
| Current Health Expenditure: | 6.9% (2017) |
| Physicians density: | 0.33 physicians/1,000 population (2016) |
| Hospital bed density: | 2.1 beds/1,000 population (2011) |
| Sanitation facility access: | improved: urban: 93.5% of population |
| Sanitation facility access: | rural: 82.4% of population |
| Sanitation facility access: | total: 85% of population |
| Sanitation facility access: | unimproved: urban: 6.5% of population |
| Sanitation facility access: | rural: 17.6% of population |
| Sanitation facility access: | total: 15% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 27.1% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 200,000 (2019 est.) |
| HIV/AIDS - deaths: | 2,300 (2019 est.) |
| Major infectious diseases: | degree of risk: intermediate (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria |
| Major infectious diseases: | water contact diseases: schistosomiasis |
| Obesity - adult prevalence rate: | 16.5% (2016) |
| Children under the age of 5 years underweight: | 5.8% (2014) |
| Education expenditures: | 7.1% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 88.4% |
| Literacy: | male: 88.3% |
| Literacy: | female: 88.5% (2015) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2013) |
| Unemployment, youth ages 15-24: | total: 47.1% |
| Unemployment, youth ages 15-24: | male: 44.2% |
| Unemployment, youth ages 15-24: | female: 50.1% (2016) |
