| People and Society | SWAZILAND |
| Population distribution: | because of its mountainous terrain, the population distribution is uneven throughout the country, concentrating primarily in valleys and plains |
| Urbanization: | urban population: 21.3% of total population (2017) |
| Urbanization: | rate of urbanization: 1.41% annual rate of change (2015-20 est.) |
| Major urban areas - population: | MBABANE (capital) 66,000 (2014) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 1.08 male(s)/female |
| Sex ratio: | 55-64 years: 0.66 male(s)/female |
| Sex ratio: | 65 years and over: 0.64 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 19.5 years |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2006/07 est.) |
| Maternal mortality rate: | 389 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 48.4 deaths/1,000 live births |
| Infant mortality rate: | male: 52.2 deaths/1,000 live births |
| Infant mortality rate: | female: 44.4 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 52.1 years |
| Life expectancy at birth: | male: 52.7 years |
| Life expectancy at birth: | female: 51.5 years (2017 est.) |
| Total fertility rate: | 2.69 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 66.1% (2014) |
| Health expenditures: | 9.3% of GDP (2014) |
| Physicians density: | 0.15 physicians/1,000 population (2009) |
| Hospital bed density: | 2.1 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 93.6% of population |
| Drinking water source: | rural: 68.9% of population |
| Drinking water source: | total: 74.1% of population |
| unimproved: | urban: 6.4% of population |
| unimproved: | rural: 31.1% of population |
| unimproved: | total: 25.9% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 63.1% of population |
| Sanitation facility access: | rural: 56% of population |
| Sanitation facility access: | total: 57.5% of population |
| unimproved: | urban: 36.9% of population |
| unimproved: | rural: 44% of population |
| unimproved: | total: 42.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 27.2% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 220,000 (2016 est.) |
| HIV/AIDS - deaths: | 3,900 (2016 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria |
| Major infectious diseases: | water contact disease: schistosomiasis (2016) |
| Obesity - adult prevalence rate: | 16.5% (2016) |
| Children under the age of 5 years underweight: | 5.8% (2014) |
| Education expenditures: | 7.1% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 87.5% |
| Literacy: | male: 87.4% |
| Literacy: | female: 87.5% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2013) |
