| People and Society | EL SALVADOR |
| Population distribution: | athough it is the smallest country in land area in Central America, El Salvador has a population that is 18 times larger than Belize; at least 20% of the population lives abroad; high population density country-wide, with particular concentration around the capital of San Salvador |
| Urbanization: | urban population: 66.7% of total population (2015) |
| Urbanization: | rate of urbanization: 1.4% annual rate of change (2010-15 est.) |
| Major urban areas - population: | SAN SALVADOR (capital) 1.098 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 0.86 male(s)/female |
| Sex ratio: | 55-64 years: 0.8 male(s)/female |
| Sex ratio: | 65 years and over: 0.8 male(s)/female |
| Sex ratio: | total population: 0.93 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 20.8 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2008 est.) |
| Maternal mortality rate: | 54 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 17.3 deaths/1,000 live births |
| Infant mortality rate: | male: 19.4 deaths/1,000 live births |
| Infant mortality rate: | female: 15.1 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 74.7 years |
| Life expectancy at birth: | male: 71.4 years |
| Life expectancy at birth: | female: 78.1 years (2016 est.) |
| Total fertility rate: | 1.89 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 72.3% |
| Contraceptive prevalence rate: | note: percent of women aged 15-44 (2008) |
| Health expenditures: | 6.8% of GDP (2014) |
| Physicians density: | 1.6 physicians/1,000 population (2008) |
| Hospital bed density: | 1.1 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97.5% of population |
| Drinking water source: | rural: 86.5% of population |
| Drinking water source: | total: 93.8% of population |
| unimproved: | urban: 2.5% of population |
| unimproved: | rural: 13.5% of population |
| unimproved: | total: 6.2% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 82.4% of population |
| Sanitation facility access: | rural: 60% of population |
| Sanitation facility access: | total: 75% of population |
| unimproved: | urban: 17.6% of population |
| unimproved: | rural: 40% of population |
| unimproved: | total: 25% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.51% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 19,800 (2015 est.) |
| HIV/AIDS - deaths: | 400 (2015 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea |
| Major infectious diseases: | vectorborne diseases: dengue fever |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Obesity - adult prevalence rate: | 20.1% (2014) |
| Children under the age of 5 years underweight: | 5% (2014) |
| Education expenditures: | 3.4% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 88% |
| Literacy: | male: 90.4% |
| Literacy: | female: 86% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2014) |
| Child labor - children ages 5-14: | total number: 179,303 |
| Child labor - children ages 5-14: | percentage: 4% |
| Child labor - children ages 5-14: | note: data represent children ages 5-17 (2007 est.) |
| Unemployment, youth ages 15-24: | total: 12.4% |
| Unemployment, youth ages 15-24: | male: 11.8% |
| Unemployment, youth ages 15-24: | female: 13.6% (2013 est.) |
