| People and Society | Mauritius |
| Demographic profile: | Mauritius again turned to overseas labor when its success in clothing and textile exports led to a labor shortage in the mid-1980s. Clothing manufacturers brought in contract workers (increasingly women) from China, India, and, to a lesser extent Bangladesh and Madagascar, who worked longer hours for lower wages under poor conditions and were viewed as more productive than locals. Downturns in the sugar and textile industries in the mid-2000s and a lack of highly qualified domestic workers for Mauritiusâ€™ growing services sector led to the emigration of low-skilled workers and a reliance on skilled foreign labor. Since 2007, Mauritius has pursued a circular migration program to enable citizens to acquire new skills and savings abroad and then return home to start businesses and to invest in the countryâ€™s development. |
| Age structure: | 0-14 years: 19.9% (male 138,707 /female 132,774) |
| Age structure: | 15-24 years: 14.52% (male 100,281 /female 97,836) |
| Age structure: | 25-54 years: 43.6% (male 297,558 /female 297,243) |
| Age structure: | 55-64 years: 11.81% (male 76,620 /female 84,554) |
| Age structure: | 65 years and over: 10.17% (male 57,094 /female 81,616) (2018 est.) |
| Dependency ratios: | total dependency ratio: 41.6 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 27.5 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 14.1 (2015 est.) |
| Dependency ratios: | potential support ratio: 7.1 (2015 est.) |
| Median age: | total: 35.7 years (2018 est.) |
| Median age: | male: 34.5 years |
| Median age: | female: 36.7 years |
| Population growth rate: | 0.57% (2018 est.) |
| Birth rate: | 12.8 births/1,000 population (2018 est.) |
| Death rate: | 7.1 deaths/1,000 population (2018 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | population density is one of the highest in the world; urban cluster are found throught the main island, with a greater density in and around Port Luis; population on Rodrigues Island is spread across the island with a slightly denser cluster on the north coast |
| Urbanization: | urban population: 40.8% of total population (2019) |
| Urbanization: | rate of urbanization: 0.11% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 149,000 PORT LOUIS (capital) (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.91 male(s)/female |
| Sex ratio: | 65 years and over: 0.7 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2018 est.) |
| Maternal mortality rate: | 61 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 9.5 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 11.3 deaths/1,000 live births |
| Infant mortality rate: | female: 7.7 deaths/1,000 live births |
| Life expectancy at birth: | total population: 76 years (2018 est.) |
| Life expectancy at birth: | male: 72.6 years |
| Life expectancy at birth: | female: 79.7 years |
| Total fertility rate: | 1.74 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 63.8% (2014) |
| Drinking water source: | improved: urban: 99.9% of population |
| Drinking water source: | rural: 99.8% of population |
| Drinking water source: | total: 99.9% of population |
| Drinking water source: | unimproved: urban: 0.1% of population |
| Drinking water source: | rural: 0.2% of population |
| Drinking water source: | total: 0.1% of population (2015 est.) |
| Current Health Expenditure: | 5.7% (2016) |
| Physicians density: | 2.54 physicians/1,000 population (2018) |
| Hospital bed density: | 3.7 beds/1,000 population (2018) |
| Sanitation facility access: | improved: urban: 93.9% of population (2015 est.) |
| Sanitation facility access: | rural: 92.6% of population (2015 est.) |
| Sanitation facility access: | total: 93.1% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 6.1% of population (2015 est.) |
| Sanitation facility access: | rural: 7.4% of population (2015 est.) |
| Sanitation facility access: | total: 6.9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.3% (2018) |
| HIV/AIDS - people living with HIV/AIDS: | 13,000 (2018) |
| HIV/AIDS - deaths: | <1000 (2018) |
| Obesity - adult prevalence rate: | 10.8% (2016) |
| Education expenditures: | 4.8% of GDP (2018) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 93.2% |
| Literacy: | male: 95.4% |
| Literacy: | female: 91% (2016) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2017) |
| Unemployment, youth ages 15-24: | total: 24% |
| Unemployment, youth ages 15-24: | male: 18.6% |
| Unemployment, youth ages 15-24: | female: 31% (2017 est.) |
