| People and Society | Zambia |
| Infant mortality rate: | male: 61.1 deaths/1,000 live births |
| Infant mortality rate: | female: 50.7 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 53.6 years |
| Life expectancy at birth: | male: 51.9 years |
| Life expectancy at birth: | female: 55.3 years (2020 est.) |
| Total fertility rate: | 5.49 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 49.5% (2018) |
| Drinking water source: | improved: urban: 89.5% of population |
| Drinking water source: | rural: 50.9% of population |
| Drinking water source: | total: 67.5% of population |
| Drinking water source: | unimproved: urban: 10.5% of population |
| Drinking water source: | rural: 49.1% of population |
| Drinking water source: | total: 32.5% of population (2017 est.) |
| Current Health Expenditure: | 4.5% (2017) |
| Physicians density: | 0.16 physicians/1,000 population (2016) |
| Hospital bed density: | 2 beds/1,000 population (2010) |
| Sanitation facility access: | improved: urban: 69.6% of population |
| Sanitation facility access: | rural: 24.8% of population |
| Sanitation facility access: | total: 44.1% of population |
| Sanitation facility access: | unimproved: urban: 31.4% of population |
| Sanitation facility access: | rural: 75.2% of population |
| Sanitation facility access: | total: 55.9% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 12.1% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.2 million (2019 est.) |
| HIV/AIDS - deaths: | 17,000 (2019 est.) |
| Major infectious diseases: | degree of risk: very high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact diseases: schistosomiasis |
| Major infectious diseases: | animal contact diseases: rabies |
| Obesity - adult prevalence rate: | 8.1% (2016) |
| Children under the age of 5 years underweight: | 11.8% (2018/19) |
| Education expenditures: | 4.6% of GDP NA (2018) |
| Literacy: | definition: age 15 and over can read and write English |
| Literacy: | total population: 86.7% |
| Literacy: | male: 90.6% |
| Literacy: | female: 83.1% (2018) |
| Unemployment, youth ages 15-24: | total: 24% |
| Unemployment, youth ages 15-24: | male: 23.6% |
| Unemployment, youth ages 15-24: | female: 24.4% (2017 est.) |
