| People and Society | Ghana |
| Birth rate: | 29.6 births/1,000 population (2020 est.) |
| Death rate: | 6.6 deaths/1,000 population (2020 est.) |
| Net migration rate: | -1.6 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | population is concentrated in the southern half of the country, with the highest concentrations being on or near the Atlantic coast as shown in this population distribution map |
| Urbanization: | urban population: 57.3% of total population (2020) |
| Urbanization: | rate of urbanization: 3.34% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 3.348 million Kumasi, 2.514 million ACCRA (capital), 946,000 Sekondi Takoradi (2020) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 0.94 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.85 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 22.3 years (2017 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 308 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 32.1 deaths/1,000 live births |
| Infant mortality rate: | male: 35.9 deaths/1,000 live births |
| Infant mortality rate: | female: 28.2 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 68.2 years |
| Life expectancy at birth: | male: 65.6 years |
| Life expectancy at birth: | female: 70.8 years (2020 est.) |
| Total fertility rate: | 3.9 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 30.8% (2017) |
| Drinking water source: | improved: urban: 97.4% of population |
| Drinking water source: | rural: 80.6% of population |
| Drinking water source: | total: 89.9% of population |
| Drinking water source: | unimproved: urban: 2.6% of population |
| Drinking water source: | rural: 19.4% of population |
| Drinking water source: | total: 10.1% of population (2017 est.) |
| Current Health Expenditure: | 3.3% (2017) |
| Physicians density: | 0.14 physicians/1,000 population (2017) |
| Hospital bed density: | 0.9 beds/1,000 population (2011) |
| Sanitation facility access: | improved: urban: 84.2% of population |
| Sanitation facility access: | rural: 49.5% of population |
| Sanitation facility access: | total: 68.7% of population |
| Sanitation facility access: | unimproved: urban: 15.8% of population |
| Sanitation facility access: | rural: 50.5% of population |
| Sanitation facility access: | total: 31.3% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 1.7% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 340,000 (2019 est.) |
| HIV/AIDS - deaths: | 14,000 (2019 est.) |
| Major infectious diseases: | degree of risk: very high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever |
| Major infectious diseases: | water contact diseases: schistosomiasis |
| Major infectious diseases: | animal contact diseases: rabies |
| Major infectious diseases: | respiratory diseases: meningococcal meningitis |
| Obesity - adult prevalence rate: | 10.9% (2016) |
| Children under the age of 5 years underweight: | 12.6% (2017/18) |
| Education expenditures: | 4% of GDP (2018) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 76.6% |
| Literacy: | male: 82% |
| Literacy: | female: 71.4% (2015) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2019) |
| Unemployment, youth ages 15-24: | total: 9.1% |
| Unemployment, youth ages 15-24: | male: 9.4% |
| Unemployment, youth ages 15-24: | female: 8.7% (2017 est.) |
