| People and Society | ALGERIA |
| Sanitation facility access: | total: 87.6% of population |
| unimproved: | urban: 10.2% of population |
| unimproved: | rural: 17.8% of population |
| unimproved: | total: 12.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | <.01% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 13,000 (2016 est.) |
| HIV/AIDS - deaths: | <200 (2016 est.) |
| Obesity - adult prevalence rate: | 27.4% (2016) |
| Children under the age of 5 years underweight: | 3% (2012) |
| Education expenditures: | 4.3% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 80.2% |
| Literacy: | male: 87.2% |
| Literacy: | female: 73.1% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2011) |
| Unemployment, youth ages 15-24: | total: 25.2% |
| Unemployment, youth ages 15-24: | male: 22.1% |
| Unemployment, youth ages 15-24: | female: 41.5% (2014 est.) |
