| People and Society | GUINEA-BISSAU |
| Infant mortality rate: | male: 96.9 deaths/1,000 live births |
| Infant mortality rate: | female: 77.7 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 50.6 years |
| Life expectancy at birth: | male: 48.6 years |
| Life expectancy at birth: | female: 52.7 years (2016 est.) |
| Total fertility rate: | 4.16 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 14.2% (2010) |
| Health expenditures: | 5.6% of GDP (2014) |
| Physicians density: | 0.1 physicians/1,000 population (2009) |
| Hospital bed density: | 1 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.8% of population |
| Drinking water source: | rural: 60.3% of population |
| Drinking water source: | total: 79.3% of population |
| unimproved: | urban: 1.2% of population |
| unimproved: | rural: 39.7% of population |
| unimproved: | total: 20.7% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 33.5% of population |
| Sanitation facility access: | rural: 8.5% of population |
| Sanitation facility access: | total: 20.8% of population |
| unimproved: | urban: 66.5% of population |
| unimproved: | rural: 91.5% of population |
| unimproved: | total: 79.2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 3.69% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 42,000 (2014 est.) |
| HIV/AIDS - deaths: | 1,900 (2014 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 6.3% (2014) |
| Children under the age of 5 years underweight: | 17% (2014) |
| Education expenditures: | 2.4% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 59.9% |
| Literacy: | male: 71.8% |
| Literacy: | female: 48.3% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: NA |
| School life expectancy (primary to tertiary education): | female: NA (2006) |
| Child labor - children ages 5-14: | total number: 226,316 |
| Child labor - children ages 5-14: | percentage: 57% (2010 est.) |
