| People and Society | Nicaragua |
| Drinking water source: | rural: 69.4% of population |
| Drinking water source: | total: 87% of population |
| Drinking water source: | unimproved: urban: 0.7% of population |
| Drinking water source: | rural: 30.6% of population |
| Drinking water source: | total: 13% of population (2015 est.) |
| Current Health Expenditure: | 8.7% (2016) |
| Physicians density: | 1.01 physicians/1,000 population (2018) |
| Hospital bed density: | 0.9 beds/1,000 population (2014) |
| Sanitation facility access: | improved: urban: 76.5% of population (2015 est.) |
| Sanitation facility access: | rural: 55.7% of population (2015 est.) |
| Sanitation facility access: | total: 67.9% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 23.5% of population (2015 est.) |
| Sanitation facility access: | rural: 44.3% of population (2015 est.) |
| Sanitation facility access: | total: 32.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 9,400 (2018 est.) |
| HIV/AIDS - deaths: | 200 (2018 est.) |
| Major infectious diseases: | degree of risk: high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria (2016) |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus |
| Obesity - adult prevalence rate: | 23.7% (2016) |
| Children under the age of 5 years underweight: | 4.6% (2012) |
| Education expenditures: | 4.3% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 82.8% |
| Literacy: | male: 82.4% |
| Literacy: | female: 83.2% (2015) |
| Unemployment, youth ages 15-24: | total: 8.5% |
| Unemployment, youth ages 15-24: | male: 6.4% |
| Unemployment, youth ages 15-24: | female: 12.9% (2014 est.) |
