| People and Society | Zambia |
| population pyramid: | elderly dependency ratio: 5.1 % |
| population pyramid: | potential support ratio: 19.6 (2014 est.) |
| Median age: | total: 16.7 years |
| Median age: | male: 16.6 years |
| Median age: | female: 16.8 years (2014 est.) |
| Population growth rate: | 2.88% (2014 est.) |
| Birth rate: | 42.46 births/1,000 population (2014 est.) |
| Death rate: | 12.92 deaths/1,000 population (2014 est.) |
| Net migration rate: | -0.72 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 39.2% of total population (2011) |
| Urbanization: | rate of urbanization: 4.15% annual rate of change (2010-15 est.) |
| Major urban areas - population: | LUSAKA (capital) 1.802 million (2011) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.75 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 19.2 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2007 est.) |
| Maternal mortality rate: | 440 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 66.62 deaths/1,000 live births |
| Infant mortality rate: | male: 72.15 deaths/1,000 live births |
| Infant mortality rate: | female: 60.94 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 51.83 years |
| Life expectancy at birth: | male: 50.24 years |
| Life expectancy at birth: | female: 53.48 years (2014 est.) |
| Total fertility rate: | 5.76 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 40.8% (2007) |
| Health expenditures: | 6.1% of GDP (2011) |
| Physicians density: | 0.07 physicians/1,000 population (2010) |
| Hospital bed density: | 2 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 84.8% of population |
| Drinking water source: | rural: 49.2% of population |
| Drinking water source: | total: 63.3% of population |
| unimproved: | urban: 15.2% of population |
| unimproved: | rural: 50.8% of population |
| unimproved: | total: 36.7% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 56.4% of population |
| Sanitation facility access: | rural: 33.9% of population |
| Sanitation facility access: | total: 42.8% of population |
| unimproved: | urban: 43.6% of population |
| unimproved: | rural: 66.1% of population |
| unimproved: | total: 57.2% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 12.7% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1,106,400 (2012 est.) |
| HIV/AIDS - deaths: | 30,300 (2012 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 3.6% (2008) |
| Children under the age of 5 years underweight: | 14.9% (2007) |
| Education expenditures: | 1.3% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write English |
| Literacy: | total population: 61.4% |
| Literacy: | male: 71.9% |
| Literacy: | female: 51.8% (2007 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2012) |
| Child labor - children ages 5-14: | total number: 1,000,850 |
| Child labor - children ages 5-14: | percentage: 41 % |
| Child labor - children ages 5-14: | note: data represents children ages 7-14 (2005 est.) |
| Unemployment, youth ages 15-24: | total: 23.4% (2005) |
