| People and Society | Zambia |
| Age structure: | 55-64 years: 2.95% (male 225,586 /female 260,252) |
| Age structure: | 65 years and over: 2.31% (male 166,224 /female 213,126) (2018 est.) |
| Dependency ratios: | total dependency ratio: 91.9 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 87.1 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 4.8 (2015 est.) |
| Dependency ratios: | potential support ratio: 20.8 (2015 est.) |
| Median age: | total: 16.8 years |
| Median age: | male: 16.7 years |
| Median age: | female: 16.9 years (2018 est.) |
| Population growth rate: | 2.91% (2018 est.) |
| Birth rate: | 41.1 births/1,000 population (2018 est.) |
| Death rate: | 12 deaths/1,000 population (2018 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | one of the highest levels of urbanization in Africa; high density in the central area, particularly around the cities of Lusaka, Ndola, Kitwe, and Mufulira |
| Urbanization: | urban population: 43.5% of total population (2018) |
| Urbanization: | rate of urbanization: 4.23% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 2.524 million LUSAKA (capital) (2018) |
| Sex ratio: | at birth: 1.02 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.01 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 1.02 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.88 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.76 male(s)/female (2017 est.) |
| Sex ratio: | total population: 1 male(s)/female (2017 est.) |
| Mother's mean age at first birth: | 19.2 years (2013/14 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 224 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 59.3 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 64.6 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 53.9 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 53 years (2018 est.) |
| Life expectancy at birth: | male: 51.4 years (2018 est.) |
| Life expectancy at birth: | female: 54.7 years (2018 est.) |
| Total fertility rate: | 5.58 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 49% (2013/14) |
| Health expenditures: | 5% of GDP (2014) |
| Physicians density: | 0.09 physicians/1,000 population (2016) |
| Hospital bed density: | 2 beds/1,000 population (2010) |
| Drinking water source: | improved: urban: 85.6% of population |
| Drinking water source: | rural: 51.3% of population |
| Drinking water source: | total: 65.4% of population |
| Drinking water source: | unimproved: urban: 14.4% of population |
| Drinking water source: | rural: 48.7% of population |
| Drinking water source: | total: 34.6% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 55.6% of population (2015 est.) |
| Sanitation facility access: | rural: 35.7% of population (2015 est.) |
| Sanitation facility access: | total: 43.9% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 44.4% of population (2015 est.) |
| Sanitation facility access: | rural: 64.3% of population (2015 est.) |
| Sanitation facility access: | total: 56.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 11.5% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.1 million (2017 est.) |
| HIV/AIDS - deaths: | 16,000 (2017 est.) |
| Major infectious diseases: | degree of risk: very high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever (2016) |
| Major infectious diseases: | water contact diseases: schistosomiasis (2016) |
| Major infectious diseases: | animal contact diseases: rabies (2016) |
| Obesity - adult prevalence rate: | 8.1% (2016) |
| Children under the age of 5 years underweight: | 14.8% (2013) |
| Education expenditures: | 1.1% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write English (2015 est.) |
| Literacy: | total population: 63.4% (2015 est.) |
| Literacy: | male: 70.9% (2015 est.) |
| Literacy: | female: 56% (2015 est.) |
| Unemployment, youth ages 15-24: | total: 15.2% (2012 est.) |
| Unemployment, youth ages 15-24: | male: 14.6% (2012 est.) |
| Unemployment, youth ages 15-24: | female: 15.8% (2012 est.) |
