| People and Society | ZAMBIA |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.88 male(s)/female |
| Sex ratio: | 65 years and over: 0.76 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 19.2 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2013/14 est.) |
| Maternal mortality rate: | 224 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 62.9 deaths/1,000 live births |
| Infant mortality rate: | male: 68.3 deaths/1,000 live births |
| Infant mortality rate: | female: 57.3 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 52.5 years |
| Life expectancy at birth: | male: 50.8 years |
| Life expectancy at birth: | female: 54.1 years (2016 est.) |
| Total fertility rate: | 5.67 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 40.8% (2007) |
| Health expenditures: | 5% of GDP (2014) |
| Physicians density: | 0.17 physicians/1,000 population (2012) |
| Hospital bed density: | 2 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 85.6% of population |
| Drinking water source: | rural: 51.3% of population |
| Drinking water source: | total: 65.4% of population |
| unimproved: | urban: 14.4% of population |
| unimproved: | rural: 48.7% of population |
| unimproved: | total: 34.6% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 55.6% of population |
| Sanitation facility access: | rural: 35.7% of population |
| Sanitation facility access: | total: 43.9% of population |
| unimproved: | urban: 44.4% of population |
| unimproved: | rural: 64.3% of population |
| unimproved: | total: 56.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 12.91% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1,211,900 (2015 est.) |
| HIV/AIDS - deaths: | 19,800 (2015 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 7.2% (2014) |
| Children under the age of 5 years underweight: | 14.8% (2014) |
| Education expenditures: | 1.1% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write English |
| Literacy: | total population: 63.4% |
| Literacy: | male: 70.9% |
| Literacy: | female: 56% (2015 est.) |
| Child labor - children ages 5-14: | total number: 1,000,850 |
| Child labor - children ages 5-14: | percentage: 41% |
| Child labor - children ages 5-14: | note: data represent children ages 7-14 (2005 est.) |
| Unemployment, youth ages 15-24: | total: 15.2% |
| Unemployment, youth ages 15-24: | male: 14.6% |
| Unemployment, youth ages 15-24: | female: 15.8% (2012 est.) |
