| People and Society | PARAGUAY |
| Maternal mortality rate: | 132 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 19.4 deaths/1,000 live births |
| Infant mortality rate: | male: 22.8 deaths/1,000 live births |
| Infant mortality rate: | female: 15.7 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 77.2 years |
| Life expectancy at birth: | male: 74.5 years |
| Life expectancy at birth: | female: 80 years (2016 est.) |
| Total fertility rate: | 1.91 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 79.4% |
| Contraceptive prevalence rate: | note: percent of women aged 15-44 (2008) |
| Health expenditures: | 9.8% of GDP (2014) |
| Physicians density: | 1.23 physicians/1,000 population (2012) |
| Hospital bed density: | 1.3 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 94.9% of population |
| Drinking water source: | total: 98% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 5.1% of population |
| unimproved: | total: 2% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 95.5% of population |
| Sanitation facility access: | rural: 78.4% of population |
| Sanitation facility access: | total: 88.6% of population |
| unimproved: | urban: 4.5% of population |
| unimproved: | rural: 21.6% of population |
| unimproved: | total: 11.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.43% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 17,500 (2015 est.) |
| HIV/AIDS - deaths: | 800 (2015 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: dengue fever |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Obesity - adult prevalence rate: | 15.1% (2014) |
| Children under the age of 5 years underweight: | 2.6% (2012) |
| Education expenditures: | 5% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 93.9% |
| Literacy: | male: 94.8% |
| Literacy: | female: 92.9% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2010) |
| Child labor - children ages 5-14: | total number: 205,297 |
| Child labor - children ages 5-14: | percentage: 15% (2004 est.) |
| Unemployment, youth ages 15-24: | total: 13% |
| Unemployment, youth ages 15-24: | male: 10% |
| Unemployment, youth ages 15-24: | female: 17.8% (2014 est.) |
