| People and Society | Paraguay |
| Major urban areas - population: | ASUNCION (capital) 2.139 million (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.87 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 22.9 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2008 est.) |
| Maternal mortality rate: | 99 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 20.75 deaths/1,000 live births |
| Infant mortality rate: | male: 24.39 deaths/1,000 live births |
| Infant mortality rate: | female: 16.93 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 76.8 years |
| Life expectancy at birth: | male: 74.16 years |
| Life expectancy at birth: | female: 79.56 years (2014 est.) |
| Total fertility rate: | 1.96 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 79.4% |
| Contraceptive prevalence rate: | note: percent of women aged 15-44 (2008) |
| Health expenditures: | 9.7% of GDP (2011) |
| Physicians density: | 1.11 physicians/1,000 population (2002) |
| Hospital bed density: | 1.3 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 83.4% of population |
| Drinking water source: | total: 93.8% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 16.6% of population |
| unimproved: | total: 6.2% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96.1% of population |
| Sanitation facility access: | rural: 52.5% of population |
| Sanitation facility access: | total: 79.7% of population |
| unimproved: | urban: 3.9% of population |
| unimproved: | rural: 47.5% of population |
| unimproved: | total: 20.3% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 13,100 (2012 est.) |
| HIV/AIDS - deaths: | 300 (2012 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: dengue fever (2013) |
| Obesity - adult prevalence rate: | 17.9% (2008) |
| Children under the age of 5 years underweight: | 3.4% (2005) |
| Education expenditures: | 4.8% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 93.9% |
| Literacy: | male: 94.8% |
| Literacy: | female: 92.9% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2011) |
| Child labor - children ages 5-14: | total number: 205,297 |
| Child labor - children ages 5-14: | percentage: 15 % (2004 est.) |
| Unemployment, youth ages 15-24: | total: 11.2% |
| Unemployment, youth ages 15-24: | male: 9% |
| Unemployment, youth ages 15-24: | female: 14.6% (2012) |
