| People and Society | Liberia |
| Major infectious diseases: | animal contact diseases: rabies (2016) |
| Major infectious diseases: | aerosolized dust or soil contact diseases: Lassa fever (2016) |
| Obesity - adult prevalence rate: | 9.9% (2016) |
| Children under the age of 5 years underweight: | 15.3% (2013) |
| Education expenditures: | 3.8% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 47.6% |
| Literacy: | male: 62.4% |
| Literacy: | female: 32.8% (2015) |
| Unemployment, youth ages 15-24: | total: 2.3% |
| Unemployment, youth ages 15-24: | male: 2.4% |
| Unemployment, youth ages 15-24: | female: 2.2% (2016 est.) |
