| People and Society | Argentina |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.94 male(s)/female |
| Sex ratio: | 65 years and over: 0.73 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2020 est.) |
| Maternal mortality rate: | 39 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 9 deaths/1,000 live births |
| Infant mortality rate: | male: 9.9 deaths/1,000 live births |
| Infant mortality rate: | female: 8.1 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 77.8 years |
| Life expectancy at birth: | male: 74.7 years |
| Life expectancy at birth: | female: 81.1 years (2020 est.) |
| Total fertility rate: | 2.21 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 81.3% (2013) |
| Drinking water source: | improved: urban: 99% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 99.1% of population |
| Drinking water source: | unimproved: urban: 1% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0.9% of population (2015 est.) |
| Current Health Expenditure: | 9.1% (2017) |
| Physicians density: | 3.99 physicians/1,000 population (2017) |
| Hospital bed density: | 5 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 98.3% of population (2017 est.) |
| Sanitation facility access: | unimproved: urban: 1.7% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 140,000 (2019 est.) |
| HIV/AIDS - deaths: | 1,400 (2019 est.) |
| Major infectious diseases: | note: widespread ongoing transmission of a respiratory illness caused by the novel coronavirus (COVID-19) is occurring throughout Argentina; as of 8 December 2020, Argentina has reported a total of 1,454,631 cases of COVID-19 or 32,185 cumulative cases of COVID-19 per 1 million population with 874 cumulative deaths per 1 million population |
| Obesity - adult prevalence rate: | 28.3% (2016) |
| Children under the age of 5 years underweight: | 1.7% (2018/19) |
| Education expenditures: | 5.5% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99% |
| Literacy: | male: 98.9% |
| Literacy: | female: 99.1% (2018) |
| School life expectancy (primary to tertiary education): | total: 18 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 19 years (2017) |
| Unemployment, youth ages 15-24: | total: 23.7% |
| Unemployment, youth ages 15-24: | male: 20.8% |
| Unemployment, youth ages 15-24: | female: 27.8% (2018 est.) |
