| People and Society | Rwanda |
| Median age: | male: 18.5 years |
| Median age: | female: 20 years (2018 est.) |
| Population growth rate: | 2.3% (2018 est.) |
| Birth rate: | 29.8 births/1,000 population (2018 est.) |
| Death rate: | 6.3 deaths/1,000 population (2018 est.) |
| Net migration rate: | 0.2 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | one of Africa's most densely populated countries; large concentrations tend to be in the central regions and along the shore of Lake Kivu in the west |
| Urbanization: | urban population: 17.2% of total population (2018) |
| Urbanization: | rate of urbanization: 2.86% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 1.058 million KIGALI (capital) (2018) |
| Sex ratio: | at birth: 1.03 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.02 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 1 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.88 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.7 male(s)/female (2017 est.) |
| Sex ratio: | total population: 1 male(s)/female (2017 est.) |
| Mother's mean age at first birth: | 23 years (2014/15 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 290 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 29.1 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 32 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 26.2 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 64.5 years (2018 est.) |
| Life expectancy at birth: | male: 62.6 years (2018 est.) |
| Life expectancy at birth: | female: 66.5 years (2018 est.) |
| Total fertility rate: | 3.75 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 53.2% (2014/15) |
| Health expenditures: | 7.5% of GDP (2014) |
| Physicians density: | 0.06 physicians/1,000 population (2015) |
| Drinking water source: | improved: urban: 86.6% of population |
| Drinking water source: | rural: 71.9% of population |
| Drinking water source: | total: 76.1% of population |
| Drinking water source: | unimproved: urban: 13.4% of population |
| Drinking water source: | rural: 28.1% of population |
| Drinking water source: | total: 23.9% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 58.5% of population (2015 est.) |
| Sanitation facility access: | rural: 62.9% of population (2015 est.) |
| Sanitation facility access: | total: 61.6% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 41.5% of population (2015 est.) |
| Sanitation facility access: | rural: 37.1% of population (2015 est.) |
| Sanitation facility access: | total: 38.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 2.7% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 220,000 (2017 est.) |
| HIV/AIDS - deaths: | 3,100 (2017 est.) |
| Major infectious diseases: | degree of risk: very high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever (2016) |
| Major infectious diseases: | animal contact diseases: rabies (2016) |
| Obesity - adult prevalence rate: | 5.8% (2016) |
| Children under the age of 5 years underweight: | 8.1% (2015) |
| Education expenditures: | 3.5% of GDP (2016) |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 70.5% (2015 est.) |
| Literacy: | male: 73.2% (2015 est.) |
| Literacy: | female: 68% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years (2013) |
| School life expectancy (primary to tertiary education): | male: 11 years (2013) |
| School life expectancy (primary to tertiary education): | female: 11 years (2013) |
| Unemployment, youth ages 15-24: | total: 1.9% (2014 est.) |
| Unemployment, youth ages 15-24: | male: 1.4% (2014 est.) |
| Unemployment, youth ages 15-24: | female: 2.5% (2014 est.) |
