| People and Society | EGYPT |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.82 male(s)/female |
| Sex ratio: | total population: 1.05 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 22.7 years |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2014 est.) |
| Maternal mortality rate: | 33 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 19 deaths/1,000 live births |
| Infant mortality rate: | male: 20.2 deaths/1,000 live births |
| Infant mortality rate: | female: 17.7 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 73 years |
| Life expectancy at birth: | male: 71.6 years |
| Life expectancy at birth: | female: 74.4 years (2017 est.) |
| Total fertility rate: | 3.47 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 58.5% (2014) |
| Health expenditures: | 5.6% of GDP (2014) |
| Physicians density: | 0.81 physicians/1,000 population (2014) |
| Hospital bed density: | 0.5 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 99% of population |
| Drinking water source: | total: 99.4% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 1% of population |
| unimproved: | total: 0.6% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96.8% of population |
| Sanitation facility access: | rural: 93.1% of population |
| Sanitation facility access: | total: 94.7% of population |
| unimproved: | urban: 3.2% of population |
| unimproved: | rural: 6.9% of population |
| unimproved: | total: 5.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 11,000 (2016 est.) |
| HIV/AIDS - deaths: | <500 (2016 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | water contact disease: schistosomiasis (2016) |
| Obesity - adult prevalence rate: | 32% (2016) |
| Children under the age of 5 years underweight: | 7% (2014) |
| Education expenditures: | 3.8% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 73.8% |
| Literacy: | male: 82.2% |
| Literacy: | female: 65.4% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2014) |
| Unemployment, youth ages 15-24: | total: 31.3% |
| Unemployment, youth ages 15-24: | male: 28.4% |
| Unemployment, youth ages 15-24: | female: 37.6% (2015 est.) |
