| People and Society | Mozambique |
| Urbanization: | urban population: 36% of total population (2018) |
| Urbanization: | rate of urbanization: 4.35% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 1.635 million Matola, 1.102 million MAPUTO (capital), 775,000 Nampula (2018) |
| Sex ratio: | at birth: 1.01 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.01 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 0.97 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 0.88 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.92 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.85 male(s)/female (2017 est.) |
| Sex ratio: | total population: 0.96 male(s)/female (2017 est.) |
| Mother's mean age at first birth: | 18.9 years (2011 est.) |
| Mother's mean age at first birth: | median age at first birth among women 25-29 |
| Maternal mortality rate: | 489 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 64 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 66 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 62 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 54.1 years (2018 est.) |
| Life expectancy at birth: | male: 53.3 years (2018 est.) |
| Life expectancy at birth: | female: 54.9 years (2018 est.) |
| Total fertility rate: | 5.02 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 27.1% (2015) |
| Health expenditures: | 7% of GDP (2014) |
| Physicians density: | 0.06 physicians/1,000 population (2013) |
| Hospital bed density: | 0.7 beds/1,000 population (2011) |
| Drinking water source: | improved: urban: 80.6% of population |
| Drinking water source: | rural: 37% of population |
| Drinking water source: | total: 51.1% of population |
| Drinking water source: | unimproved: urban: 19.4% of population |
| Drinking water source: | rural: 63% of population |
| Drinking water source: | total: 48.9% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 42.4% of population (2015 est.) |
| Sanitation facility access: | rural: 10.1% of population (2015 est.) |
| Sanitation facility access: | total: 20.5% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 57.6% of population (2015 est.) |
| Sanitation facility access: | rural: 89.9% of population (2015 est.) |
| Sanitation facility access: | total: 79.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 12.5% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 2.1 million (2017 est.) |
| HIV/AIDS - deaths: | 70,000 (2017 est.) |
| Major infectious diseases: | degree of risk: very high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever (2016) |
| Major infectious diseases: | water contact diseases: schistosomiasis (2016) |
| Major infectious diseases: | animal contact diseases: rabies (2016) |
| Obesity - adult prevalence rate: | 7.2% (2016) |
| Children under the age of 5 years underweight: | 15.6% (2011) |
| Education expenditures: | 6.5% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 58.8% (2015 est.) |
| Literacy: | male: 73.3% (2015 est.) |
| Literacy: | female: 45.4% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 10 years (2014) |
| School life expectancy (primary to tertiary education): | male: 10 years (2014) |
| School life expectancy (primary to tertiary education): | female: 9 years (2014) |
| Unemployment, youth ages 15-24: | total: 7.4% (2015 est.) |
| Unemployment, youth ages 15-24: | male: 7.7% (2015 est.) |
| Unemployment, youth ages 15-24: | female: 7.1% (2015 est.) |
