| People and Society | MOZAMBIQUE |
| Age structure: | 0-14 years: 44.72% (male 5,975,407/female 5,908,511) |
| Age structure: | 15-24 years: 21.57% (male 2,824,012/female 2,907,033) |
| Age structure: | 25-54 years: 27.42% (male 3,409,425/female 3,875,837) |
| Age structure: | 55-64 years: 3.4% (male 435,203/female 468,939) |
| Age structure: | 65 years and over: 2.9% (male 352,546/female 416,793) (2017 est.) |
| Dependency ratios: | total dependency ratio: 93.5 |
| Dependency ratios: | youth dependency ratio: 87.5 |
| Dependency ratios: | elderly dependency ratio: 6.1 |
| Dependency ratios: | potential support ratio: 16.5 (2015 est.) |
| Median age: | total: 17.2 years |
| Median age: | male: 16.6 years |
| Median age: | female: 17.8 years (2017 est.) |
| Population growth rate: | 2.46% (2017 est.) |
| Birth rate: | 38.1 births/1,000 population (2017 est.) |
| Death rate: | 11.6 deaths/1,000 population (2017 est.) |
| Net migration rate: | -1.9 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | three large populations clusters are found along the southern coast between Maputo and Inhambane, in the central area between Beira and Chimoio along the Zambezi River, and in and around the northern cities of Nampula, Cidade de Nacala, and Pemba; the northwest and southwest are the least populated areas |
| Urbanization: | urban population: 32.8% of total population (2017) |
| Urbanization: | rate of urbanization: 3.36% annual rate of change (2015-20 est.) |
| Major urban areas - population: | MAPUTO (capital) 1.187 million; Matola 937,000 (2015) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.97 male(s)/female |
| Sex ratio: | 25-54 years: 0.88 male(s)/female |
| Sex ratio: | 55-64 years: 0.92 male(s)/female |
| Sex ratio: | 65 years and over: 0.85 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 18.9 years |
| Mother's mean age at first birth: | median age at first birth among women 25-29 (2011 est.) |
| Maternal mortality rate: | 489 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 65.9 deaths/1,000 live births |
| Infant mortality rate: | male: 67.9 deaths/1,000 live births |
| Infant mortality rate: | female: 63.8 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 53.7 years |
| Life expectancy at birth: | male: 52.9 years |
| Life expectancy at birth: | female: 54.5 years (2017 est.) |
| Total fertility rate: | 5.08 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 11.6% (2011) |
| Health expenditures: | 7% of GDP (2014) |
| Physicians density: | 0.06 physicians/1,000 population (2013) |
| Hospital bed density: | 0.7 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 80.6% of population |
| Drinking water source: | rural: 37% of population |
| Drinking water source: | total: 51.1% of population |
| unimproved: | urban: 19.4% of population |
| unimproved: | rural: 63% of population |
| unimproved: | total: 48.9% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 42.4% of population |
| Sanitation facility access: | rural: 10.1% of population |
| Sanitation facility access: | total: 20.5% of population |
| unimproved: | urban: 57.6% of population |
| unimproved: | rural: 89.9% of population |
| unimproved: | total: 79.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 12.3% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.8 million (2016 est.) |
| HIV/AIDS - deaths: | 62,000 (2016 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 7.2% (2016) |
| Children under the age of 5 years underweight: | 15.6% (2011) |
| Education expenditures: | 6.5% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 58.8% |
| Literacy: | male: 73.3% |
| Literacy: | female: 45.4% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 9 years (2014) |
| Unemployment, youth ages 15-24: | total: 39.3% |
| Unemployment, youth ages 15-24: | male: 40.2% |
| Unemployment, youth ages 15-24: | female: 38.7% (2012 est.) |
