| People and Society | NIGER |
| unimproved: | urban: 62.1% of population |
| unimproved: | rural: 95.4% of population |
| unimproved: | total: 89.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.46% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 49,000 (2015 est.) |
| HIV/AIDS - deaths: | 3,600 (2015 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 3.7% (2014) |
| Children under the age of 5 years underweight: | 37.9% (2012) |
| Education expenditures: | 6.8% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 19.1% |
| Literacy: | male: 27.3% |
| Literacy: | female: 11% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 5 years |
| School life expectancy (primary to tertiary education): | male: 6 years |
| School life expectancy (primary to tertiary education): | female: 5 years (2012) |
| Child labor - children ages 5-14: | total number: 1,557,913 |
| Child labor - children ages 5-14: | percentage: 43% (2006 est.) |
| Unemployment, youth ages 15-24: | total: 2.3% |
| Unemployment, youth ages 15-24: | male: 4.4% |
| Unemployment, youth ages 15-24: | female: 0.8% (2007 est.) |
