| People and Society | Libya |
| Median age: | male: 29.5 years |
| Median age: | female: 29.2 years |
| Population growth rate: | 1.45% (2018 est.) |
| Birth rate: | 17.2 births/1,000 population (2018 est.) |
| Death rate: | 3.7 deaths/1,000 population (2018 est.) |
| Net migration rate: | 0.9 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | well over 90% of the population lives along the Mediterranean coast in and between Tripoli to the west and Al Bayda to the east; the interior remains vastly underpopulated due to the Sahara and lack of surface water |
| Urbanization: | urban population: 80.4% of total population (2019) |
| Urbanization: | rate of urbanization: 1.68% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 1.161 million TRIPOLI (capital), 841,000 Misratah, 811,000 Benghazi (2019) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.11 male(s)/female |
| Sex ratio: | 55-64 years: 1.03 male(s)/female |
| Sex ratio: | 65 years and over: 0.97 male(s)/female |
| Sex ratio: | total population: 1.07 male(s)/female (2018 est.) |
| Maternal mortality rate: | 72 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 10.5 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 11.3 deaths/1,000 live births |
| Infant mortality rate: | female: 9.6 deaths/1,000 live births |
| Life expectancy at birth: | total population: 76.9 years (2018 est.) |
| Life expectancy at birth: | male: 75.1 years |
| Life expectancy at birth: | female: 78.7 years |
| Total fertility rate: | 2.03 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 27.7% (2014) |
| Drinking water source: | improved: urban: 54.2% of population |
| Drinking water source: | rural: 54.9% of population |
| Drinking water source: | total: 54.4% of population |
| Drinking water source: | unimproved: urban: 45.8% of population |
| Drinking water source: | rural: 45.1% of population |
| Drinking water source: | total: 45.6% of population (2001 est.) |
| Physicians density: | 2.16 physicians/1,000 population (2017) |
| Hospital bed density: | 3.7 beds/1,000 population (2014) |
| Sanitation facility access: | improved: urban: 96.8% of population (2015 est.) |
| Sanitation facility access: | rural: 95.7% of population (2015 est.) |
| Sanitation facility access: | total: 96.6% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 3.2% of population (2015 est.) |
| Sanitation facility access: | rural: 4.3% of population (2015 est.) |
| Sanitation facility access: | total: 3.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2018) |
| HIV/AIDS - people living with HIV/AIDS: | 9,200 (2018) |
| HIV/AIDS - deaths: | <200 (2018) |
| Obesity - adult prevalence rate: | 32.5% (2016) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 91% |
| Literacy: | male: 96.7% |
| Literacy: | female: 85.6% (2015) |
| Unemployment, youth ages 15-24: | total: 48.7% |
| Unemployment, youth ages 15-24: | male: 40.8% |
| Unemployment, youth ages 15-24: | female: 67.8% (2012 est.) |
