| People and Society | Suriname |
| Urbanization: | urban population: 69.7% of total population (2011) |
| Urbanization: | rate of urbanization: 1.44% annual rate of change (2010-15 est.) |
| Major urban areas - population: | PARAMARIBO (capital) 278,000 (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.04 male(s)/female |
| Sex ratio: | 55-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.77 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2014 est.) |
| Maternal mortality rate: | 130 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 27.07 deaths/1,000 live births |
| Infant mortality rate: | male: 31.5 deaths/1,000 live births |
| Infant mortality rate: | female: 22.41 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 71.69 years |
| Life expectancy at birth: | male: 69.31 years |
| Life expectancy at birth: | female: 74.18 years (2014 est.) |
| Total fertility rate: | 2.01 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 45.6% (2006) |
| Health expenditures: | 5.3% of GDP (2011) |
| Physicians density: | 0.91 physicians/1,000 population (2004) |
| Hospital bed density: | 3.1 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.1% of population |
| Drinking water source: | rural: 88.4% of population |
| Drinking water source: | total: 95.2% of population |
| unimproved: | urban: 1.9% of population |
| unimproved: | rural: 11.6% of population |
| unimproved: | total: 4.8% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 88.4% of population |
| Sanitation facility access: | rural: 61.4% of population |
| Sanitation facility access: | total: 80.3% of population |
| unimproved: | urban: 11.6% of population |
| unimproved: | rural: 38.6% of population |
| unimproved: | total: 19.7% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 1.1% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 4,000 (2012 est.) |
| HIV/AIDS - deaths: | 100 (2012 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: dengue fever and malaria (2013) |
| Obesity - adult prevalence rate: | 25.1% (2008) |
| Children under the age of 5 years underweight: | 5.8% (2010) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 94.7% |
| Literacy: | male: 95.4% |
| Literacy: | female: 94% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2002) |
| Child labor - children ages 5-14: | total number: 6,094 |
| Child labor - children ages 5-14: | percentage: 6 % (2006 est.) |
| Unemployment, youth ages 15-24: | total: 21.5% (2004) |
