| People and Society | Brazil |
| Infant mortality rate: | female: 15.78 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 73.28 years |
| Life expectancy at birth: | male: 69.73 years |
| Life expectancy at birth: | female: 77 years (2014 est.) |
| Total fertility rate: | 1.79 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 80.3% (2006) |
| Health expenditures: | 8.9% of GDP (2011) |
| Physicians density: | 1.76 physicians/1,000 population (2008) |
| Hospital bed density: | 2.3 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.7% of population |
| Drinking water source: | rural: 85.3% of population |
| Drinking water source: | total: 97.5% of population |
| unimproved: | urban: 0.3% of population |
| unimproved: | rural: 14.7% of population |
| unimproved: | total: 2.5% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 87% of population |
| Sanitation facility access: | rural: 49.2% of population |
| Sanitation facility access: | total: 81.3% of population |
| unimproved: | urban: 13% of population |
| unimproved: | rural: 50.8% of population |
| unimproved: | total: 18.7% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 18.8% (2008) |
| Children under the age of 5 years underweight: | 2.2% (2007) |
| Education expenditures: | 5.8% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 90.4% |
| Literacy: | male: 90.1% |
| Literacy: | female: 90.7% (2010 est.) |
| Child labor - children ages 5-14: | total number: 959,942 |
| Child labor - children ages 5-14: | percentage: 3 % |
| Child labor - children ages 5-14: | note: data represents children ages 5-13 (2009 est.) |
| Unemployment, youth ages 15-24: | total: 15.4% |
| Unemployment, youth ages 15-24: | male: 12.2% |
| Unemployment, youth ages 15-24: | female: 19.8% (2011) |
