| People and Society | Brazil |
| Total fertility rate: | 1.81 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 80.3% (2006) |
| Health expenditures: | 8.9% of GDP (2011) |
| Physicians density: | 1.76 physicians/1,000 population (2008) |
| Hospital bed density: | 2.3 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 85% of population |
| Drinking water source: | total: 98% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 15% of population |
| unimproved: | total: 2% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 85% of population |
| Sanitation facility access: | rural: 44% of population |
| Sanitation facility access: | total: 79% of population |
| unimproved: | urban: 15% of population |
| unimproved: | rural: 56% of population |
| unimproved: | total: 21% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 18.8% (2008) |
| Children under the age of 5 years underweight: | 2.2% (2007) |
| Education expenditures: | 5.6% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 90.4% |
| Literacy: | male: 90.1% |
| Literacy: | female: 90.7% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2005) |
| Child labor - children ages 5-14: | total number: 959,942 |
| Child labor - children ages 5-14: | percentage: 3 % |
| Child labor - children ages 5-14: | note: data represents children ages 5-13 (2009 est.) |
| Unemployment, youth ages 15-24: | total: 17.8% |
| Unemployment, youth ages 15-24: | male: 13.9% |
| Unemployment, youth ages 15-24: | female: 23.1% (2009) |
