| People and Society | Morocco |
| Sex ratio: | total population: 1 male(s)/female (2020 est.) |
| Maternal mortality rate: | 70 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 18.2 deaths/1,000 live births |
| Infant mortality rate: | male: 20.2 deaths/1,000 live births |
| Infant mortality rate: | female: 16.1 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 73.3 years |
| Life expectancy at birth: | male: 71.6 years |
| Life expectancy at birth: | female: 75.1 years (2020 est.) |
| Total fertility rate: | 2.31 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 70.8% (2018) |
| Drinking water source: | improved: urban: 98.3% of population |
| Drinking water source: | rural: 79.1% of population |
| Drinking water source: | total: 91% of population |
| Drinking water source: | unimproved: urban: 1.7% of population |
| Drinking water source: | rural: 20.9% of population |
| Drinking water source: | total: 9% of population (2017 est.) |
| Current Health Expenditure: | 5.2% (2017) |
| Physicians density: | 0.73 physicians/1,000 population (2017) |
| Hospital bed density: | 1 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 99.1% of population |
| Sanitation facility access: | rural: 81.1% of population |
| Sanitation facility access: | total: 92.2% of population |
| Sanitation facility access: | unimproved: urban: 0.9% of population |
| Sanitation facility access: | rural: 18.9% of population |
| Sanitation facility access: | total: 7.3% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 21,000 (2019 est.) |
| HIV/AIDS - deaths: | <500 (2019 est.) |
| Major infectious diseases: | note: clusters of cases of a respiratory illness caused by the novel coronavirus (COVID-19) are occurring in Morocco; as of 8 December 2020, Morocco has reported a total of 376,738 cases of COVID-19 or 10,207 cumulative cases of COVID-19 per 1 million population with 168 cumulative deaths per 1 million population |
| Obesity - adult prevalence rate: | 26.1% (2016) |
| Children under the age of 5 years underweight: | 2.6% (2017/18) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 73.8% |
| Literacy: | male: 83.3% |
| Literacy: | female: 64.6% (2018) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2019) |
| Unemployment, youth ages 15-24: | total: 22.2% |
| Unemployment, youth ages 15-24: | male: 22% |
| Unemployment, youth ages 15-24: | female: 22.8% (2016 est.) |
