| People and Society | Morocco |
| Dependency ratios: | youth dependency ratio: 41.9 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 9.7 (2015 est.) |
| Dependency ratios: | potential support ratio: 10.3 (2015 est.) |
| Median age: | total: 29.7 years |
| Median age: | male: 29 years |
| Median age: | female: 30.3 years (2018 est.) |
| Population growth rate: | 0.95% (2018 est.) |
| Birth rate: | 17.5 births/1,000 population (2018 est.) |
| Death rate: | 4.9 deaths/1,000 population (2018 est.) |
| Net migration rate: | -3.2 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | the highest population density is found along the Atlantic and Mediterranean coasts; a number of densely populated agglomerations are found scattered through the Atlas Mountains |
| Urbanization: | urban population: 62.5% of total population (2018) |
| Urbanization: | rate of urbanization: 2.14% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 3.684 million Casablanca, 1.847 million RABAT (capital), 1.184 million Fes, 1.116 million Tangier, 976,000 Marrakech, 888,000 Agadir (2018) |
| Sex ratio: | at birth: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.03 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 0.99 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 0.94 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.99 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.82 male(s)/female (2017 est.) |
| Sex ratio: | total population: 0.97 male(s)/female (2017 est.) |
| Maternal mortality rate: | 121 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 21.1 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 25 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 16.9 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 77.3 years (2018 est.) |
| Life expectancy at birth: | male: 74.2 years (2018 est.) |
| Life expectancy at birth: | female: 80.5 years (2018 est.) |
| Total fertility rate: | 2.09 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 67.4% (2010/11) |
| Health expenditures: | 5.9% of GDP (2014) |
| Physicians density: | 0.62 physicians/1,000 population (2014) |
| Hospital bed density: | 1.1 beds/1,000 population (2014) |
| Drinking water source: | improved: urban: 98.7% of population |
| Drinking water source: | rural: 65.3% of population |
| Drinking water source: | total: 85.4% of population |
| Drinking water source: | unimproved: urban: 1.3% of population |
| Drinking water source: | rural: 34.7% of population |
| Drinking water source: | total: 14.6% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 84.1% of population (2015 est.) |
| Sanitation facility access: | rural: 65.5% of population (2015 est.) |
| Sanitation facility access: | total: 76.7% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 15.9% of population (2015 est.) |
| Sanitation facility access: | rural: 34.5% of population (2015 est.) |
| Sanitation facility access: | total: 23.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 20,000 (2017 est.) |
| HIV/AIDS - deaths: | <500 (2017 est.) |
| Obesity - adult prevalence rate: | 26.1% (2016) |
| Children under the age of 5 years underweight: | 3.1% (2011) |
| Education expenditures: | 5.3% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 68.5% (2015 est.) |
| Literacy: | male: 78.6% (2015 est.) |
| Literacy: | female: 58.8% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years (2012) |
| School life expectancy (primary to tertiary education): | male: 13 years (2012) |
| School life expectancy (primary to tertiary education): | female: 12 years (2012) |
| Unemployment, youth ages 15-24: | total: 19.9% (2014 est.) |
| Unemployment, youth ages 15-24: | male: 20.8% (2014 est.) |
| Unemployment, youth ages 15-24: | female: 17.7% (2014 est.) |
