| People and Society | SOMALIA |
| Major urban areas - population: | MOGADISHU (capital) 2.138 million; Hargeysa 760,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 1.07 male(s)/female |
| Sex ratio: | 55-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.64 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2016 est.) |
| Maternal mortality rate: | 732 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 94.8 deaths/1,000 live births |
| Infant mortality rate: | male: 103.3 deaths/1,000 live births |
| Infant mortality rate: | female: 86 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 52.8 years |
| Life expectancy at birth: | male: 50.7 years |
| Life expectancy at birth: | female: 54.9 years (2017 est.) |
| Total fertility rate: | 5.8 children born/woman (2017 est.) |
| Physicians density: | 0.03 physicians/1,000 population (2014) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 69.6% of population |
| Drinking water source: | rural: 8.8% of population |
| Drinking water source: | total: 31.7% of population |
| unimproved: | urban: 30.4% of population |
| unimproved: | rural: 91.2% of population |
| unimproved: | total: 68.3% of population (2011 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 52% of population |
| Sanitation facility access: | rural: 6.3% of population |
| Sanitation facility access: | total: 23.6% of population |
| unimproved: | urban: 48% of population |
| unimproved: | rural: 93.7% of population |
| unimproved: | total: 76.4% of population (2011 est.) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 24,000 (2016 est.) |
| HIV/AIDS - deaths: | 1,700 (2016 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and Rift Valley fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 8.3% (2016) |
| Children under the age of 5 years underweight: | 23% (2009) |
| Education expenditures: | NA |
