| People and Society | CENTRAL AFRICAN REPUBLIC |
| Age structure: | 65 years and over: 3.43% (male 74,834/female 117,928) (2017 est.) |
| Dependency ratios: | total dependency ratio: 90 |
| Dependency ratios: | youth dependency ratio: 83.1 |
| Dependency ratios: | elderly dependency ratio: 7 |
| Dependency ratios: | potential support ratio: 14.4 (2015 est.) |
| Median age: | total: 19.7 years |
| Median age: | male: 19.4 years |
| Median age: | female: 20 years (2017 est.) |
| Population growth rate: | 2.12% (2017 est.) |
| Birth rate: | 34.3 births/1,000 population (2017 est.) |
| Death rate: | 13.2 deaths/1,000 population (2017 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | majority of residents live in the western and central areas of the country, especially in and around the capital of Bangui |
| Urbanization: | urban population: 40.6% of total population (2017) |
| Urbanization: | rate of urbanization: 2.73% annual rate of change (2015-20 est.) |
| Major urban areas - population: | BANGUI (capital) 794,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.84 male(s)/female |
| Sex ratio: | 65 years and over: 0.64 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2016 est.) |
| Maternal mortality rate: | 882 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 86.3 deaths/1,000 live births |
| Infant mortality rate: | male: 93.7 deaths/1,000 live births |
| Infant mortality rate: | female: 78.7 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 52.8 years |
| Life expectancy at birth: | male: 51.4 years |
| Life expectancy at birth: | female: 54.2 years (2017 est.) |
| Total fertility rate: | 4.3 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 15.2% (2010/11) |
| Health expenditures: | 4.2% of GDP (2014) |
| Physicians density: | 0.05 physicians/1,000 population (2009) |
| Hospital bed density: | 1 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 89.6% of population |
| Drinking water source: | rural: 54.4% of population |
| Drinking water source: | total: 68.5% of population |
| unimproved: | urban: 10.4% of population |
| unimproved: | rural: 45.6% of population |
| unimproved: | total: 31.5% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 43.6% of population |
| Sanitation facility access: | rural: 7.2% of population |
| Sanitation facility access: | total: 21.8% of population |
| unimproved: | urban: 56.4% of population |
| unimproved: | rural: 92.8% of population |
| unimproved: | total: 78.2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 4% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 130,000 (2016 est.) |
| HIV/AIDS - deaths: | 7,300 (2016 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 7.5% (2016) |
| Children under the age of 5 years underweight: | 23.5% (2010) |
| Education expenditures: | 1.2% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 36.8% |
| Literacy: | male: 50.7% |
| Literacy: | female: 24.4% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 7 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 6 years (2012) |
