| People and Society | Ethiopia |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact diseases: schistosomiasis |
| Major infectious diseases: | animal contact diseases: rabies |
| Major infectious diseases: | respiratory diseases: meningococcal meningitis |
| Obesity - adult prevalence rate: | 4.5% (2016) |
| Children under the age of 5 years underweight: | 21.1% (2019) |
| Education expenditures: | 4.7% of GDP (2015) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 51.8% |
| Literacy: | male: 57.2% |
| Literacy: | female: 44.4% (2017) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2012) |
| Unemployment, youth ages 15-24: | total: 25.2% |
| Unemployment, youth ages 15-24: | male: 17.1% |
| Unemployment, youth ages 15-24: | female: 30.9% (2016 est.) |
