| People and Society | BENIN |
| Median age: | male: 17.9 years |
| Median age: | female: 18.6 years (2017 est.) |
| Population growth rate: | 2.71% (2017 est.) |
| Birth rate: | 35 births/1,000 population (2017 est.) |
| Death rate: | 7.9 deaths/1,000 population (2017 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | the population is primarily located in the south, with the highest concentration of people residing in and around the cities on the Atlantic coast; most of the north remains sparsely populated with higher concentrations of residents in the west |
| Urbanization: | urban population: 44.8% of total population (2017) |
| Urbanization: | rate of urbanization: 3.55% annual rate of change (2015-20 est.) |
| Major urban areas - population: | PORTO-NOVO (capital) 268,000 (2014); COTONOU (seat of government) 682,000; Abomey-Calavi 757,000 (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.76 male(s)/female |
| Sex ratio: | 65 years and over: 0.66 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 20.3 years |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2011/12 est.) |
| Maternal mortality rate: | 405 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 52.8 deaths/1,000 live births |
| Infant mortality rate: | male: 55.9 deaths/1,000 live births |
| Infant mortality rate: | female: 49.6 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 62.3 years |
| Life expectancy at birth: | male: 60.9 years |
| Life expectancy at birth: | female: 63.8 years (2017 est.) |
| Total fertility rate: | 4.77 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 17.9% (2014) |
| Health expenditures: | 4.6% of GDP (2014) |
| Physicians density: | 0.15 physicians/1,000 population (2013) |
| Hospital bed density: | 0.5 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 85.2% of population |
| Drinking water source: | rural: 72.1% of population |
| Drinking water source: | total: 77.9% of population |
| unimproved: | urban: 14.8% of population |
| unimproved: | rural: 27.9% of population |
| unimproved: | total: 22.1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 35.6% of population |
| Sanitation facility access: | rural: 7.3% of population |
| Sanitation facility access: | total: 19.7% of population |
| unimproved: | urban: 64.4% of population |
| unimproved: | rural: 92.7% of population |
| unimproved: | total: 80.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 67,000 (2016 est.) |
| HIV/AIDS - deaths: | 2,400 (2016 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and yellow fever |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 9.6% (2016) |
| Children under the age of 5 years underweight: | 18% (2014) |
| Education expenditures: | 4.3% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 38.4% |
| Literacy: | male: 49.9% |
| Literacy: | female: 27.3% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2013) |
| Unemployment, youth ages 15-24: | total: 2.4% |
| Unemployment, youth ages 15-24: | male: 1.5% |
| Unemployment, youth ages 15-24: | female: 3.1% (2010 est.) |
