| People and Society | Benin |
| HIV/AIDS - deaths: | 2,200 (2018 est.) |
| Major infectious diseases: | degree of risk: very high (2019) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever (2019) |
| Major infectious diseases: | vectorborne diseases: dengue fever andÂ malaria (2019) |
| Major infectious diseases: | animal contact diseases: rabies (2019) |
| Major infectious diseases: | respiratory diseases: meningococcal meningitis (2019) |
| Obesity - adult prevalence rate: | 9.6% (2016) |
| Children under the age of 5 years underweight: | 16.8% (2018) |
| Education expenditures: | 4% of GDP (2016) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 38.4% |
| Literacy: | male: 49.9% |
| Literacy: | female: 27.3% (2015) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2016) |
| Unemployment, youth ages 15-24: | total: 5.6% |
| Unemployment, youth ages 15-24: | male: 5.2% |
| Unemployment, youth ages 15-24: | female: 5.9% (2011 est.) |
