| People and Society | Liberia |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever (2016) |
| Major infectious diseases: | water contact diseases: schistosomiasis (2016) |
| Major infectious diseases: | animal contact diseases: rabies (2016) |
| Major infectious diseases: | aerosolized dust or soil contact diseases: Lassa fever (2016) |
| Obesity - adult prevalence rate: | 9.9% (2016) |
| Children under the age of 5 years underweight: | 15.3% (2013) |
| Education expenditures: | 2.8% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 47.6% (2015 est.) |
| Literacy: | male: 62.4% (2015 est.) |
| Literacy: | female: 32.8% (2015 est.) |
| Unemployment, youth ages 15-24: | total: 3.3% (2010 est.) |
| Unemployment, youth ages 15-24: | male: 2.5% (2010 est.) |
| Unemployment, youth ages 15-24: | female: 4.1% (2010 est.) |
