| People and Society | SIERRA LEONE |
| Dependency ratios: | total dependency ratio: 81.9% |
| Dependency ratios: | youth dependency ratio: 77.1% |
| Dependency ratios: | elderly dependency ratio: 4.9% |
| Dependency ratios: | potential support ratio: 20.6% (2015 est.) |
| Median age: | total: 19 years |
| Median age: | male: 18.4 years |
| Median age: | female: 19.6 years (2016 est.) |
| Population growth rate: | 2.36% (2016 est.) |
| Birth rate: | 36.7 births/1,000 population (2016 est.) |
| Death rate: | 10.6 deaths/1,000 population (2016 est.) |
| Net migration rate: | -2.4 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 39.9% of total population (2015) |
| Urbanization: | rate of urbanization: 2.75% annual rate of change (2010-15 est.) |
| Major urban areas - population: | FREETOWN (capital) 1.007 million (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1 male(s)/female |
| Sex ratio: | 15-24 years: 0.94 male(s)/female |
| Sex ratio: | 25-54 years: 0.92 male(s)/female |
| Sex ratio: | 55-64 years: 0.86 male(s)/female |
| Sex ratio: | 65 years and over: 0.73 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 19.2 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2013 est.) |
| Maternal mortality rate: | 1,360 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 70 deaths/1,000 live births |
| Infant mortality rate: | male: 78.4 deaths/1,000 live births |
| Infant mortality rate: | female: 61.4 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 58.2 years |
| Life expectancy at birth: | male: 55.6 years |
| Life expectancy at birth: | female: 60.9 years (2016 est.) |
| Total fertility rate: | 4.76 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 16.6% (2013) |
| Health expenditures: | 11.1% of GDP (2014) |
| Physicians density: | 0.02 physicians/1,000 population (2010) |
| Hospital bed density: | 0.4 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 84.9% of population |
| Drinking water source: | rural: 47.8% of population |
| Drinking water source: | total: 62.6% of population |
| unimproved: | urban: 15.1% of population |
| unimproved: | rural: 52.2% of population |
| unimproved: | total: 37.4% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 22.8% of population |
| Sanitation facility access: | rural: 6.9% of population |
| Sanitation facility access: | total: 13.3% of population |
| unimproved: | urban: 77.2% of population |
| unimproved: | rural: 93.1% of population |
| unimproved: | total: 86.7% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.34% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 51,100 (2015 est.) |
| HIV/AIDS - deaths: | 2,500 (2015 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | aerosolized dust or soil contact disease: Lassa fever (2016) |
| Obesity - adult prevalence rate: | 6.6% (2014) |
| Children under the age of 5 years underweight: | 18.1% (2013) |
| Education expenditures: | 2.8% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write English, Mende, Temne, or Arabic |
| Literacy: | total population: 48.1% |
| Literacy: | male: 58.7% |
| Literacy: | female: 37.7% (2015 est.) |
| Child labor - children ages 5-14: | total number: 573,287 |
| Child labor - children ages 5-14: | percentage: 48% (2005 est.) |
